"edge_id","telemetry_received","ingress_queue_capacity","max_ingress_queue_depth","max_ingress_queue_utilization_pct","ingress_accepted","ingress_queue_dropped","invalid_telemetry","out_of_order_dropped","post_eos_dropped","processed","aggregates_emitted","end_of_replay_processed"
"edge-0","124410","1000","142","14,2","124410","0","0","0","0","124410","8124","1"
"edge-1","171649","1000","186","18,6","171649","0","0","0","0","171649","8124","1"
"edge-2","189420","1000","184","18,4","189420","0","0","0","0","189420","8124","1"
"edge-3","145178","1000","192","19,2","145178","0","0","0","0","145178","8124","1"
"edge-4","133862","1000","120","12","133862","0","0","0","0","133862","8124","1"
"edge-5","145501","1000","176","17,6","145501","0","0","0","0","145501","8124","1"
"edge-6","160171","1000","166","16,6","160171","0","0","0","0","160171","8124","1"
"edge-7","149836","1000","129","12,9","149836","0","0","0","0","149836","8124","1"
"edge-8","221171","1000","253","25,3","221171","0","0","0","0","221171","8124","1"
"edge-9","155365","1000","148","14,8","155365","0","0","0","0","155365","8124","1"
"edge-10","167737","1000","172","17,2","167737","0","0","0","0","167737","8124","1"
"edge-11","196973","1000","217","21,7","196973","0","0","0","0","196973","8120","1"
"edge-12","145511","1000","175","17,5","145511","0","0","0","0","145511","8124","1"
