"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","17","18,399412","52,75","10,176","12,38"
"edge-0","17","8,383529","16,89","9,606706","11,55"
"edge-1","17","9,468235","18,5","9,407882","12,05"
"edge-10","17","9,323529","17,42","8,613353","10,49"
"edge-11","17","11,153529","21,27","9,921882","14"
"edge-12","17","9,034118","16,02","8,596471","10,94"
"edge-2","17","9,757059","19,34","9,638176","11,8"
"edge-3","17","8,772941","16,86","9,698294","12,21"
"edge-4","17","7,323529","16,42","7,062294","8,336"
"edge-5","17","8,558235","16,72","9,657","11,95"
"edge-6","17","8,920588","17,28","8,229176","10,38"
"edge-7","17","7,604706","13,37","8,994765","11,61"
"edge-8","17","10,861765","19,86","9,975529","17,25"
"edge-9","17","7,788824","14,85","8,297706","10,4"
"global-aggregator","16","10,6125","23,36","9,962187","12,42"
"kafka","17","122,448235","273,68","728,529412","1011"
"mqtt-edge-0","17","2,93","4,96","2,641588","2,652"
"mqtt-edge-1","17","4,05","7,83","2,642059","2,648"
"mqtt-edge-10","17","3,94","7,66","2,647176","2,652"
"mqtt-edge-11","17","4,215882","8,22","2,657765","2,664"
"mqtt-edge-12","17","3,838235","7,72","2,639118","2,645"
"mqtt-edge-2","17","4,467059","8,96","2,645941","2,652"
"mqtt-edge-3","17","3,474706","7,65","2,642059","2,648"
"mqtt-edge-4","17","3,722941","8,32","2,647529","2,656"
"mqtt-edge-5","17","3,353529","5,58","2,651235","2,66"
"mqtt-edge-6","17","3,531765","5,52","2,647941","2,695"
"mqtt-edge-7","17","3,601176","7,32","2,647941","2,652"
"mqtt-edge-8","17","4,296471","7,04","2,644118","2,66"
"mqtt-edge-9","17","3,689412","7,73","2,642235","2,664"
"simulator-edge-0","15","7,298667","11,13","8,6026","10,89"
"simulator-edge-1","15","8,919333","13,83","8,111867","10,84"
"simulator-edge-10","15","8,480667","12,13","8,582333","11,69"
"simulator-edge-11","15","9,719333","15,25","8,5502","11,48"
"simulator-edge-12","15","7,540667","11,9","7,835267","11,2"
"simulator-edge-2","15","9,115333","13,82","8,8672","11,47"
"simulator-edge-3","15","7,693333","11,35","8,6948","11,38"
"simulator-edge-4","15","7,3","10,77","8,2688","11,25"
"simulator-edge-5","15","7,514667","11,33","8,6156","11,28"
"simulator-edge-6","15","7,796","11,96","8,514","11,31"
"simulator-edge-7","15","7,616","11,52","8,7998","10,92"
"simulator-edge-8","15","10,296667","14,95","9,2386","11,6"
"simulator-edge-9","15","8,442","12,32","8,989933","11,12"
