"timestamp_utc","container","cpu_pct","memory_used_mib","memory_usage","net_io","block_io","pids"
"2026-09-06T21:53:39.4854187Z","cloud-worker-0","0","4,969","4.969MiB / 15.18GiB","3.37kB / 1.39kB","0B / 0B","10"
"2026-09-06T21:53:39.4854187Z","cloud-worker-1","0","4,906","4.906MiB / 15.18GiB","3.38kB / 1.39kB","0B / 0B","8"
"2026-09-06T21:53:39.4854187Z","edge-0","3,21","4,973","4.973MiB / 15.18GiB","3.12kB / 778B","0B / 0B","8"
"2026-09-06T21:53:39.4854187Z","edge-1","0","5,039","5.039MiB / 15.18GiB","3.58kB / 778B","0B / 0B","10"
"2026-09-06T21:53:39.4854187Z","edge-10","2,86","5,02","5.02MiB / 15.18GiB","3.83kB / 780B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-11","0,41","8,398","8.398MiB / 15.18GiB","4.08kB / 780B","0B / 0B","15"
"2026-09-06T21:53:39.4854187Z","edge-12","0","5,027","5.027MiB / 15.18GiB","4.22kB / 780B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-2","2,6","5,02","5.02MiB / 15.18GiB","3.92kB / 778B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-3","0","5,039","5.039MiB / 15.18GiB","4kB / 778B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-4","0","5,031","5.031MiB / 15.18GiB","3.79kB / 778B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-5","0","4,988","4.988MiB / 15.18GiB","4.13kB / 778B","0B / 0B","8"
"2026-09-06T21:53:39.4854187Z","edge-6","0","5,023","5.023MiB / 15.18GiB","3.92kB / 778B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-7","0","5,031","5.031MiB / 15.18GiB","3.96kB / 778B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","edge-8","3,09","5,027","5.027MiB / 15.18GiB","3.24kB / 778B","0B / 0B","10"
"2026-09-06T21:53:39.4854187Z","edge-9","2,9","5,566","5.566MiB / 15.18GiB","3.03kB / 778B","0B / 0B","9"
"2026-09-06T21:53:39.4854187Z","global-aggregator","0,03","4,941","4.941MiB / 15.18GiB","2.72kB / 667B","0B / 0B","8"
"2026-09-06T21:53:39.4854187Z","kafka","3,22","325,4","325.4MiB / 15.18GiB","9.41kB / 10.1kB","0B / 0B","118"
"2026-09-06T21:53:39.4854187Z","kafka-init","124,56","29,89","29.89MiB / 15.18GiB","3.04kB / 1.33kB","0B / 0B","18"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-0","3,24","2,68","2.68MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-1","0,03","2,625","2.625MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-10","2,91","2,637","2.637MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-11","3,46","2,637","2.637MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-12","2,63","2,637","2.637MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-2","0,05","2,637","2.637MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-3","0,04","2,641","2.641MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-4","2,41","2,637","2.637MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-5","2,85","2,664","2.664MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:53:39.4854187Z","mqtt-edge-6","0,03","2,629","2.629MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
