"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","17","18,342941","53,94","10,760588","14,03"
"edge-0","17","7,680588","17,51","10,037588","17,38"
"edge-1","17","9,012353","19,87","9,365471","12,13"
"edge-10","17","8,596471","16,25","8,471176","11,8"
"edge-11","17","10,612941","22,24","8,621294","10,62"
"edge-12","17","8,442941","17,85","9,833176","13,53"
"edge-2","17","8,327647","18,66","9,517412","11,76"
"edge-3","17","7,968235","17,41","10,592118","14,15"
"edge-4","17","7,308824","15,39","9,654824","11,74"
"edge-5","17","7,92","18,05","9,736824","12,26"
"edge-6","17","7,897059","17,62","8,638765","10,58"
"edge-7","17","8,682941","17,93","8,369765","10,38"
"edge-8","17","9,97","21,53","8,740059","10,04"
"edge-9","17","7,692353","18,43","8,153647","10,5"
"global-aggregator","16","11,501875","41,84","7,221562","9,41"
"kafka","17","132,441176","305,56","773,849882","1065,984"
"kafka-init","1","138,07","138,07","10,68","10,68"
"mqtt-edge-0","17","3,071765","6,29","2,642588","2,648"
"mqtt-edge-1","17","3,760588","8,36","2,640882","2,648"
"mqtt-edge-10","17","4,348235","9,12","2,665176","2,73"
"mqtt-edge-11","17","4,744118","10,15","2,652471","2,816"
"mqtt-edge-12","17","3,44","6,99","2,877941","6,629"
"mqtt-edge-2","17","4,088824","8,73","2,660588","2,68"
"mqtt-edge-3","17","3,880588","9,21","2,648588","2,656"
"mqtt-edge-4","17","3,152941","7,27","2,658118","2,742"
"mqtt-edge-5","17","3,392941","6,86","2,644529","2,66"
"mqtt-edge-6","17","3,562941","7,77","2,646941","2,656"
"mqtt-edge-7","17","3,534706","7,54","2,651765","2,84"
"mqtt-edge-8","17","4,577059","9,03","2,641882","2,648"
"mqtt-edge-9","17","4,119412","8,65","5,901235","5,91"
"simulator-edge-0","15","6,967333","13,69","9,033933","11,63"
"simulator-edge-1","15","8,246667","13,89","9,150733","11,75"
"simulator-edge-10","15","7,877333","12,79","8,177867","11,37"
"simulator-edge-11","15","8,883333","14,98","8,736867","10,97"
"simulator-edge-12","15","7,530667","12,5","7,806067","10,8"
"simulator-edge-2","15","8,501333","15,56","9,289867","11,3"
"simulator-edge-3","15","7,48","12,07","8,9148","11,29"
"simulator-edge-4","15","6,897333","11,55","9,0626","11,59"
"simulator-edge-5","15","7,296667","12,32","7,683133","9,777"
"simulator-edge-6","15","7,562","12,46","9,2052","11,27"
"simulator-edge-7","15","7,666","12,77","8,716667","11,17"
"simulator-edge-8","15","9,471333","15,73","8,918133","11,28"
"simulator-edge-9","15","7,534667","12,8","9,180667","11,27"
