"timestamp_utc","group","topic","partition","current_offset","log_end_offset","lag"
"2026-09-06T19:21:41.2498488Z","cloud-workers","edge-aggregates","4","12689","14862","2173"
"2026-09-06T19:21:41.2498488Z","cloud-workers","edge-aggregates","5","7418","7431","13"
"2026-09-06T19:21:41.2498488Z","global-aggregator","cloud-edge-aggregates","0","24555","24572","17"
"2026-09-06T19:21:48.0202590Z","cloud-workers","edge-aggregates","0","14037","16250","2213"
"2026-09-06T19:21:48.0202590Z","cloud-workers","edge-aggregates","1","14047","24361","10314"
"2026-09-06T19:21:48.0202590Z","cloud-workers","edge-aggregates","2","14047","24375","10328"
"2026-09-06T19:21:48.0202590Z","cloud-workers","edge-aggregates","3","14031","16250","2219"
"2026-09-06T19:21:48.0202590Z","cloud-workers","edge-aggregates","4","14042","16250","2208"
"2026-09-06T19:21:48.0202590Z","cloud-workers","edge-aggregates","5","8125","8125","0"
"2026-09-06T19:21:48.0202590Z","global-aggregator","cloud-edge-aggregates","0","27424","27438","14"
"2026-09-06T19:21:55.1795791Z","cloud-workers","edge-aggregates","0","16250","16250","0"
"2026-09-06T19:21:55.1795791Z","cloud-workers","edge-aggregates","1","24361","24361","0"
"2026-09-06T19:21:55.1795791Z","cloud-workers","edge-aggregates","2","24375","24375","0"
"2026-09-06T19:21:55.1795791Z","cloud-workers","edge-aggregates","3","16250","16250","0"
"2026-09-06T19:21:55.1795791Z","cloud-workers","edge-aggregates","4","16250","16250","0"
"2026-09-06T19:21:55.1795791Z","cloud-workers","edge-aggregates","5","8125","8125","0"
"2026-09-06T19:21:55.1795791Z","global-aggregator","cloud-edge-aggregates","0","35242","35242","0"
