"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_seconds","drain_duration_seconds","throughput_events_per_second","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","1000","124410","0",,"50,748449","83,377009",,"1492,13","1","0"
"edge-1","completato","171649","171649","0","1000","171649","0",,"35,988329","83,37562",,"2058,73","1","0"
"edge-2","completato","189420","189420","0","1000","189420","0",,"77,075697","83,376354",,"2271,86","1","0"
"edge-3","completato","145178","145178","0","1000","145178","0",,"30,048863","83,376241",,"1741,23","1","0"
"edge-4","completato","133862","133862","0","1000","133862","0",,"75,403639","83,375983",,"1605,51","1","0"
"edge-5","completato","145501","145501","0","1000","145501","0",,"110,301696","83,374105",,"1745,15","1","0"
"edge-6","completato","160171","160171","0","1000","160171","0",,"84,037829","83,400575","0,001415","1920,49","1","0"
"edge-7","completato","149836","149836","0","1000","149836","0",,"32,308274","83,375204",,"1797,12","1","0"
"edge-8","completato","221171","221171","0","1000","221171","0",,"64,632361","83,382184",,"2652,49","1","0"
"edge-9","completato","155365","155365","0","1000","155365","0",,"38,795983","83,37443",,"1863,45","1","0"
"edge-10","completato","167737","167737","0","1000","167737","0",,"52,582181","83,376455","0,001289","2011,79","1","0"
"edge-11","completato","196973","196973","0","1000","196973","0",,"120,28003","83,374943","0,002784","2362,48","1","0"
"edge-12","completato","145511","145511","0","1000","145511","0",,"38,368645","83,373447",,"1745,28","1","0"
