"timestamp_utc","container","cpu_pct","memory_used_mib","memory_usage","net_io","block_io","pids"
"2026-09-06T22:00:50.2503661Z","edge-11","2,13","4,992","4.992MiB / 15.18GiB","4.04kB / 822B","0B / 0B","8"
"2026-09-06T22:00:50.2503661Z","edge-12","2,31","5,008","5.008MiB / 15.18GiB","4.17kB / 822B","0B / 0B","9"
"2026-09-06T22:00:50.2503661Z","edge-2","0","5,035","5.035MiB / 15.18GiB","4.8kB / 820B","0B / 0B","9"
"2026-09-06T22:00:50.2503661Z","edge-3","3,07","5,039","5.039MiB / 15.18GiB","3.66kB / 820B","0B / 0B","8"
"2026-09-06T22:00:50.2503661Z","edge-4","2,37","5,918","5.918MiB / 15.18GiB","3.5kB / 820B","0B / 0B","9"
"2026-09-06T22:00:50.2503661Z","edge-5","2,18","7,086","7.086MiB / 15.18GiB","4.42kB / 820B","0B / 0B","11"
"2026-09-06T22:00:50.2503661Z","edge-6","0","5,027","5.027MiB / 15.18GiB","4.59kB / 778B","0B / 0B","10"
"2026-09-06T22:00:50.2503661Z","edge-7","2,07","7,031","7.031MiB / 15.18GiB","4.25kB / 820B","0B / 0B","9"
"2026-09-06T22:00:50.2503661Z","edge-8","2,06","4,992","4.992MiB / 15.18GiB","3.92kB / 820B","0B / 0B","8"
"2026-09-06T22:00:50.2503661Z","edge-9","3,07","7,18","7.18MiB / 15.18GiB","5.13kB / 820B","0B / 0B","10"
"2026-09-06T22:00:50.2503661Z","global-aggregator","0,1","6,992","6.992MiB / 15.18GiB","13.9kB / 12kB","0B / 0B","9"
"2026-09-06T22:00:50.2503661Z","kafka","7,16","331,2","331.2MiB / 15.18GiB","119kB / 125kB","0B / 0B","120"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-0","0,03","2,645","2.645MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-1","0,02","2,648","2.648MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-10","0,02","2,656","2.656MiB / 15.18GiB","2.87kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-11","0,02","2,648","2.648MiB / 15.18GiB","2.87kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-12","0,02","2,652","2.652MiB / 15.18GiB","2.87kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-2","0,02","2,648","2.648MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-3","0,02","2,648","2.648MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-4","0,02","2,645","2.645MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-5","0,02","2,641","2.641MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-6","0,02","2,633","2.633MiB / 15.18GiB","2.82kB / 702B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-7","0,02","2,652","2.652MiB / 15.18GiB","3kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-8","0,02","2,637","2.637MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","mqtt-edge-9","0,02","2,641","2.641MiB / 15.18GiB","2.86kB / 744B","0B / 0B","1"
"2026-09-06T22:00:50.2503661Z","simulator-edge-0","0","2,742","2.742MiB / 15.18GiB","1.17kB / 470B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-1","0","4,781","4.781MiB / 15.18GiB","1.08kB / 470B","0B / 0B","6"
"2026-09-06T22:00:50.2503661Z","simulator-edge-10","0","2,754","2.754MiB / 15.18GiB","1.17kB / 471B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-11","0","4,77","4.77MiB / 15.18GiB","1.17kB / 471B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-12","0","4,805","4.805MiB / 15.18GiB","1.17kB / 471B","0B / 0B","6"
"2026-09-06T22:00:50.2503661Z","simulator-edge-2","0","4,766","4.766MiB / 15.18GiB","1.17kB / 470B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-3","0","4,797","4.797MiB / 15.18GiB","1.17kB / 470B","0B / 0B","6"
"2026-09-06T22:00:50.2503661Z","simulator-edge-4","0","4,797","4.797MiB / 15.18GiB","1.17kB / 470B","0B / 0B","6"
"2026-09-06T22:00:50.2503661Z","simulator-edge-5","0","4,762","4.762MiB / 15.18GiB","1.17kB / 470B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-6","0","4,75","4.75MiB / 15.18GiB","1.17kB / 470B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-7","0","4,758","4.758MiB / 15.18GiB","1.24kB / 470B","0B / 0B","5"
"2026-09-06T22:00:50.2503661Z","simulator-edge-8","0","4,793","4.793MiB / 15.18GiB","1.17kB / 470B","0B / 0B","6"
"2026-09-06T22:00:50.2503661Z","simulator-edge-9","0","2,832","2.832MiB / 15.18GiB","1.17kB / 470B","0B / 0B","5"
"2026-09-06T22:00:56.2947344Z","cloud-worker-0","0,05","6,961","6.961MiB / 15.18GiB","14.7kB / 11.9kB","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","cloud-worker-1","0,07","6,977","6.977MiB / 15.18GiB","15.4kB / 12.6kB","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","cloud-worker-2","0,06","4,926","4.926MiB / 15.18GiB","15.1kB / 12.4kB","0B / 0B","8"
"2026-09-06T22:00:56.2947344Z","cloud-worker-3","0,06","7,039","7.039MiB / 15.18GiB","23.3kB / 20.7kB","0B / 0B","11"
"2026-09-06T22:00:56.2947344Z","cloud-worker-4","0,07","9,117","9.117MiB / 15.18GiB","51.6kB / 46.2kB","0B / 0B","13"
"2026-09-06T22:00:56.2947344Z","cloud-worker-5","0,07","7,008","7.008MiB / 15.18GiB","22.4kB / 20.5kB","0B / 0B","10"
"2026-09-06T22:00:56.2947344Z","edge-0","2,16","5,062","5.062MiB / 15.18GiB","4.19kB / 886B","0B / 0B","8"
"2026-09-06T22:00:56.2947344Z","edge-1","0","7,051","7.051MiB / 15.18GiB","5.07kB / 886B","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","edge-10","2,3","5,191","5.191MiB / 15.18GiB","5.24kB / 888B","0B / 0B","8"
"2026-09-06T22:00:56.2947344Z","edge-11","1,79","5,012","5.012MiB / 15.18GiB","4.11kB / 888B","0B / 0B","8"
"2026-09-06T22:00:56.2947344Z","edge-12","2,03","5,031","5.031MiB / 15.18GiB","4.23kB / 888B","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","edge-2","0","5,039","5.039MiB / 15.18GiB","4.86kB / 886B","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","edge-3","0,22","5,941","5.941MiB / 15.18GiB","3.73kB / 886B","0B / 0B","14"
"2026-09-06T22:00:56.2947344Z","edge-4","0","5,055","5.055MiB / 15.18GiB","3.56kB / 886B","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","edge-5","2,23","7,098","7.098MiB / 15.18GiB","4.49kB / 886B","0B / 0B","11"
"2026-09-06T22:00:56.2947344Z","edge-6","0","5,039","5.039MiB / 15.18GiB","4.65kB / 844B","0B / 0B","10"
"2026-09-06T22:00:56.2947344Z","edge-7","2","7,031","7.031MiB / 15.18GiB","4.32kB / 886B","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","edge-8","2,16","4,996","4.996MiB / 15.18GiB","3.98kB / 886B","0B / 0B","8"
"2026-09-06T22:00:56.2947344Z","edge-9","0,33","7,84","7.84MiB / 15.18GiB","5.2kB / 886B","0B / 0B","16"
"2026-09-06T22:00:56.2947344Z","global-aggregator","0,09","6,992","6.992MiB / 15.18GiB","17.6kB / 16.4kB","0B / 0B","9"
"2026-09-06T22:00:56.2947344Z","kafka","2,94","330,6","330.6MiB / 15.18GiB","150kB / 151kB","0B / 0B","120"
