edge_id,population_sensors,population_share_pct,sensor_quota,selected_sensors,workload_share_pct,edge_cluster
edge-0,89,1.7444139553116425,11,11,7.333333333333333,0
edge-1,203,3.978831830654645,12,12,8.0,1
edge-2,1136,22.26577812622501,12,12,8.0,2
edge-3,838,16.424931399451197,12,12,8.0,3
edge-4,203,3.978831830654645,11,11,7.333333333333333,4
edge-5,588,11.524892199137593,12,12,8.0,5
edge-6,60,1.1760094080752646,11,11,7.333333333333333,6
edge-7,568,11.132889063112504,12,12,8.0,7
edge-8,365,7.15405723245786,12,12,8.0,8
edge-9,759,14.876519012152098,12,12,8.0,9
edge-10,71,1.391611132889063,11,11,7.333333333333333,10
edge-11,171,3.351626813014504,11,11,7.333333333333333,11
edge-12,51,0.999607996863975,11,11,7.333333333333333,12
