sensor_id,macroarea_id,edge_cluster,edge_id,lat,lon,x_km,y_km,rows,rows_per_day,distance_to_edge_km
10006,none,9,edge-9,42.626,23.382,5415.687140553402,2266.5838791275664,16181,521.9677419354839,52.64931275159225
10008,none,9,edge-9,41.766,26.204,5661.796603442334,2218.443037683086,16591,535.1935483870968,203.86611255166517
10060,none,3,edge-3,49.306,8.636,4221.790708344964,2911.2547778250328,13292,428.7741935483871,96.88356159168646
10079,none,9,edge-9,42.544,22.966,5383.50404558921,2251.632380835675,16280,525.1612903225806,87.6828288246948
10097,none,9,edge-9,42.66211199999999,23.465317,5421.753407484052,2271.753983227442,16337,527.0,45.71836793563818
10127,none,9,edge-9,42.608,23.362000000000002,5414.400336795875,2264.322458934865,16194,522.3870967741935,54.44764339336143
10135,none,3,edge-3,48.85,8.924,4242.009093625474,2860.213203978963,16593,535.258064516129,61.392290680045924
10145,none,9,edge-9,41.822,23.563999999999997,5445.265624787385,2181.3104628256347,12783,412.35483870967744,99.57149149271191
10176,none,0,edge-0,38.704,0.152,3461.4713073570065,1790.9641737683426,15618,503.80645161290323,369.82350714150965
10261,none,9,edge-9,42.606,23.388,5416.539022701698,2264.4824926278143,6206,200.19354838709677,52.34250520980115
10310,none,9,edge-9,43.236,27.986,5770.114379298354,2411.2836671521914,16258,524.4516129032259,330.95242399176726
10342,none,7,edge-7,54.602,18.356,4859.781428090407,3530.7607690560085,16197,522.483870967742,343.80578276489155
10423,none,0,edge-0,44.755529,-0.41278,3498.0085490367815,2462.390361178598,9695,312.741935483871,317.0672323751846
10460,none,2,edge-2,51.206,6.887999999999999,4103.587474296585,3126.2890951578847,16517,532.8064516129032,88.46221354140353
10462,none,9,edge-9,42.656,23.374,5414.490527973417,2269.7507299364825,16286,525.3548387096774,53.20488767562839
10464,none,9,edge-9,42.048,24.638,5528.567066186944,2222.6445942939145,16269,524.8064516129032,83.13938396392264
10466,none,9,edge-9,42.6,23.556,5430.229427758235,2266.2921513333877,16224,523.3548387096774,38.71463094835028
10470,none,8,edge-8,47.052,15.458000000000002,4735.629710115709,2675.100237614374,16247,524.0967741935484,269.03182549597426
10474,none,2,edge-2,50.446,7.904,4172.1345620362745,3039.245365578569,7854,253.3548387096774,197.4071076354969
10476,none,3,edge-3,48.264,11.436000000000002,4427.65553671685,2795.534976605542,13450,433.8709677419355,139.5452470032258
10482,none,9,edge-9,42.334,23.876,5461.1275036269535,2241.9904281637687,15867,511.83870967741933,36.96167515545926
