edge_id,replay_event_count
edge-0,124410
edge-1,171649
edge-2,189420
edge-3,145178
edge-4,133862
edge-5,145501
edge-6,160171
edge-7,149836
edge-8,221171
edge-9,155365
edge-10,167737
edge-11,196973
edge-12,145511
