"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_s","drain_duration_s","throughput_eps","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","5000","124410","0","0,793066","68,107001","62,534031033","0,000316277","1989,4607455314658","1","0"
"edge-1","completato","171649","171649","0","5000","171649","0","1,063948","67,143842","62,532286295","0,000216667","2744,950011746568","1","0"
"edge-2","completato","189420","189420","0","5000","189420","0","1,136541","73,785724","62,532327767","0,000338209","3029,1371961361965","1","0"
"edge-3","completato","145178","145178","0","5000","145178","0","0,964496","101,568913","62,532735872","0,000198095","2321,615998013694","1","0"
"edge-4","completato","133862","133862","0","5000","133862","0","0,797845","67,488566","62,531597906","0,000417135","2140,6937369683915","1","0"
"edge-5","completato","145501","145501","0","5000","145501","0","0,830881","59,450076","62,532909727","0,000271048","2326,774823612231","1","0"
"edge-6","completato","160171","160171","0","5000","160171","0","0,86768","82,257015","62,533549764","0,000521025","2561,345079632892","1","0"
"edge-7","completato","149836","149836","0","5000","149836","0","0,880113","89,002446","62,532978049","0,000439766","2396,095703015956","1","0"
"edge-8","completato","221171","221171","0","5000","221171","0","1,157727","78,508814","62,533607851","0,000282872","3536,8181622750108","1","0"
"edge-9","completato","155365","155365","0","5000","155365","0","0,938391","65,572803","62,534804859","0,000692652","2484,440470395744","1","0"
"edge-10","completato","167737","167737","0","5000","167737","0","0,969118","76,313641","62,532077166","0,000140696","2682,3992997181545","1","0"
"edge-11","completato","196973","196973","0","5000","196973","0","1,070324","83,676648","62,537192158","0,000128374","3149,6777070251396","1","0"
"edge-12","completato","145511","145511","0","5000","145511","0","0,87852","71,768503","62,533874303","0,000623123","2326,898846774624","1","0"
