"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","7","17,438571","55,89","11,985714","13,54"
"cloud-worker-1","7","6,521429","12,05","10,520286","11,16"
"cloud-worker-2","7","7,628571","14,24","10,243571","11,41"
"cloud-worker-3","7","6,714286","13,31","8,873286","9,395"
"edge-0","7","13,838571","18,46","13,011714","16,99"
"edge-1","7","14,847143","21,12","11,993143","13,82"
"edge-10","7","14,901429","19,45","11,689143","13,82"
"edge-11","7","16,008571","22,28","10,881714","12"
"edge-12","7","13,718571","18,97","11,707857","13,43"
"edge-2","7","15,358571","21,96","10,933","13,5"
"edge-3","7","13,384286","19,69","8,788429","10,07"
"edge-4","7","13,745714","18,16","10,010714","11,78"
"edge-5","7","14,048571","18,97","10,646143","12,01"
"edge-6","7","14,922857","19,56","10,469571","11,84"
"edge-7","7","14,515714","20,75","9,447857","10,44"
"edge-8","7","16,234286","22,46","10,805","12,31"
"edge-9","7","13,544286","20,27","10,453857","11,89"
"global-aggregator","6","12,901667","21,38","11,228167","12,2"
"kafka","7","142,058571","226,23","841,9","1022"
"mqtt-edge-0","7","5,132857","8,33","2,648143","2,652"
"mqtt-edge-1","7","6,39","9,03","2,646429","2,652"
"mqtt-edge-10","7","6,33","10,48","2,646429","2,652"
"mqtt-edge-11","7","7,508571","9,85","2,654429","2,664"
"mqtt-edge-12","7","5,691429","9,61","2,640286","2,648"
"mqtt-edge-2","7","7,075714","12,47","2,643","2,648"
"mqtt-edge-3","7","5,775714","8,46","2,649857","2,656"
"mqtt-edge-4","7","5,252857","8,94","2,643429","2,648"
"mqtt-edge-5","7","5,571429","8,35","2,642571","2,648"
"mqtt-edge-6","7","6,042857","9,95","2,641429","2,648"
"mqtt-edge-7","7","5,987143","10,89","2,643857","2,648"
"mqtt-edge-8","7","7,49","11,26","2,646429","2,652"
"mqtt-edge-9","7","5,978571","9,47","2,652143","2,656"
"simulator-edge-0","7","9,938571","13,38","9,324143","11,7"
"simulator-edge-1","6","13,783333","15,19","10,751333","11,39"
"simulator-edge-10","6","13,991667","14,74","10,889833","11,55"
"simulator-edge-11","6","13,4","17,18","10,656333","11,43"
"simulator-edge-12","6","12,503333","13,75","10,346","10,93"
"simulator-edge-2","6","15,08","16,31","10,604833","11,29"
"simulator-edge-3","6","12,486667","14,27","9,844667","10,71"
"simulator-edge-4","6","12,608333","13,74","10,676833","11,21"
"simulator-edge-5","6","12,5","14,49","10,364167","10,81"
"simulator-edge-6","6","13,211667","13,97","10,748","11,05"
"simulator-edge-7","6","10,605","13,39","10,424833","11,21"
"simulator-edge-8","6","17,055","20,71","9,182333","9,461"
"simulator-edge-9","6","12,943333","14,15","10,6525","11,3"
