"timestamp_utc","container","cpu_pct","memory_used_mib","memory_usage","net_io","block_io","pids"
"2026-09-06T21:49:50.4483462Z","cloud-worker-0","0","4,93","4.93MiB / 15.18GiB","3.17kB / 1.39kB","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-0","0","5","5MiB / 15.18GiB","3.71kB / 778B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-1","0","4,965","4.965MiB / 15.18GiB","3.24kB / 778B","0B / 0B","7"
"2026-09-06T21:49:50.4483462Z","edge-10","2,29","5,023","5.023MiB / 15.18GiB","3.94kB / 780B","0B / 0B","10"
"2026-09-06T21:49:50.4483462Z","edge-11","2,58","4,961","4.961MiB / 15.18GiB","3.92kB / 780B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-12","0","5,016","5.016MiB / 15.18GiB","3.54kB / 780B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-2","0","7,008","7.008MiB / 15.18GiB","3.45kB / 778B","0B / 0B","9"
"2026-09-06T21:49:50.4483462Z","edge-3","2,66","10,89","10.89MiB / 15.18GiB","3.75kB / 778B","0B / 0B","15"
"2026-09-06T21:49:50.4483462Z","edge-4","2,26","5","5MiB / 15.18GiB","3.96kB / 778B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-5","0","8,102","8.102MiB / 15.18GiB","3.96kB / 778B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-6","0","7,066","7.066MiB / 15.18GiB","3.08kB / 778B","0B / 0B","9"
"2026-09-06T21:49:50.4483462Z","edge-7","2,25","4,98","4.98MiB / 15.18GiB","3.79kB / 778B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","edge-8","0","3,707","3.707MiB / 15.18GiB","3.33kB / 778B","0B / 0B","9"
"2026-09-06T21:49:50.4483462Z","edge-9","2,17","5,469","5.469MiB / 15.18GiB","3.83kB / 778B","0B / 0B","10"
"2026-09-06T21:49:50.4483462Z","global-aggregator","0,04","4,957","4.957MiB / 15.18GiB","2.55kB / 667B","0B / 0B","8"
"2026-09-06T21:49:50.4483462Z","kafka","4,35","380,1","380.1MiB / 15.18GiB","8.02kB / 8.89kB","0B / 0B","118"
"2026-09-06T21:49:50.4483462Z","kafka-init","141,38","2,801","2.801MiB / 15.18GiB","3.39kB / 1.33kB","0B / 0B","1"
"2026-09-06T21:49:50.4483462Z","mqtt-edge-0","0,02","2,625","2.625MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
