"timestamp_utc","container","cpu_pct","memory_used_mib","memory_usage","net_io","block_io","pids"
"2026-09-06T21:57:15.6678064Z","cloud-worker-0","0,77","7,078","7.078MiB / 15.18GiB","37.6kB / 31.8kB","0B / 0B","11"
"2026-09-06T21:57:15.6678064Z","cloud-worker-1","0,52","6,996","6.996MiB / 15.18GiB","10.9kB / 7.49kB","0B / 0B","10"
"2026-09-06T21:57:15.6678064Z","cloud-worker-2","0","6,938","6.938MiB / 15.18GiB","4.35kB / 1.39kB","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","cloud-worker-3","0","4,918","4.918MiB / 15.18GiB","4.42kB / 1.39kB","0B / 0B","8"
"2026-09-06T21:57:15.6678064Z","edge-0","3,04","5,074","5.074MiB / 15.18GiB","3.45kB / 778B","0B / 0B","10"
"2026-09-06T21:57:15.6678064Z","edge-1","0","5,02","5.02MiB / 15.18GiB","3.92kB / 778B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","edge-10","0","7,023","7.023MiB / 15.18GiB","4.34kB / 780B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","edge-11","0","5,02","5.02MiB / 15.18GiB","3.87kB / 780B","0B / 0B","8"
"2026-09-06T21:57:15.6678064Z","edge-12","0","7,023","7.023MiB / 15.18GiB","4kB / 780B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","edge-2","3,59","7,012","7.012MiB / 15.18GiB","3.36kB / 778B","0B / 0B","8"
"2026-09-06T21:57:15.6678064Z","edge-3","2,83","7,012","7.012MiB / 15.18GiB","3.33kB / 778B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","edge-4","0","7","7MiB / 15.18GiB","4.34kB / 778B","0B / 0B","8"
"2026-09-06T21:57:15.6678064Z","edge-5","0","7,07","7.07MiB / 15.18GiB","4.17kB / 778B","0B / 0B","10"
"2026-09-06T21:57:15.6678064Z","edge-6","0","5,023","5.023MiB / 15.18GiB","4.13kB / 778B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","edge-7","0","5,125","5.125MiB / 15.18GiB","4.08kB / 778B","0B / 0B","10"
"2026-09-06T21:57:15.6678064Z","edge-8","2,11","4,988","4.988MiB / 15.18GiB","3.2kB / 778B","0B / 0B","8"
"2026-09-06T21:57:15.6678064Z","edge-9","2,49","5,004","5.004MiB / 15.18GiB","3.5kB / 778B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","global-aggregator","0,01","6,984","6.984MiB / 15.18GiB","3.6kB / 667B","0B / 0B","9"
"2026-09-06T21:57:15.6678064Z","kafka","13,3","361","361MiB / 15.18GiB","48.7kB / 53.8kB","0B / 0B","120"
"2026-09-06T21:57:15.6678064Z","kafka-init","212,23","83,57","83.57MiB / 15.18GiB","548B / 266B","0B / 0B","34"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-0","0,02","2,629","2.629MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-1","2,3","2,648","2.648MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-10","0,04","2,629","2.629MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-11","2,14","2,652","2.652MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-12","0,05","2,621","2.621MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-2","0,03","2,629","2.629MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-3","0,02","2,629","2.629MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-4","0,02","2,625","2.625MiB / 15.18GiB","2.42kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-5","0,02","2,625","2.625MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-6","0,03","2,621","2.621MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-7","0,04","2,625","2.625MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-8","0,02","2,629","2.629MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
"2026-09-06T21:57:15.6678064Z","mqtt-edge-9","0,02","2,633","2.633MiB / 15.18GiB","2.35kB / 450B","0B / 0B","1"
