"timestamp_utc","group","topic","partition","current_offset","log_end_offset","lag"
"2026-09-06T19:34:14.6077874Z","cloud-workers","edge-aggregates","0","98","1649","1551"
"2026-09-06T19:34:14.6077874Z","cloud-workers","edge-aggregates","1","101","2349","2248"
"2026-09-06T19:34:14.6077874Z","cloud-workers","edge-aggregates","2","105","2302","2197"
"2026-09-06T19:34:14.6077874Z","cloud-workers","edge-aggregates","3","99","1598","1499"
"2026-09-06T19:34:14.6077874Z","cloud-workers","edge-aggregates","4","99","1692","1593"
"2026-09-06T19:34:14.6077874Z","cloud-workers","edge-aggregates","5","93","820","727"
"2026-09-06T19:34:14.6077874Z","global-aggregator","cloud-edge-aggregates","0","586","602","16"
"2026-09-06T19:34:25.1162748Z","cloud-workers","edge-aggregates","0","721","5023","4302"
"2026-09-06T19:34:25.1162748Z","cloud-workers","edge-aggregates","1","725","7406","6681"
"2026-09-06T19:34:25.1162748Z","cloud-workers","edge-aggregates","2","729","7362","6633"
"2026-09-06T19:34:25.1162748Z","cloud-workers","edge-aggregates","3","723","4970","4247"
"2026-09-06T19:34:25.1162748Z","cloud-workers","edge-aggregates","4","722","5069","4347"
"2026-09-06T19:34:25.1162748Z","cloud-workers","edge-aggregates","5","717","2508","1791"
"2026-09-06T19:34:25.1162748Z","global-aggregator","cloud-edge-aggregates","0","1972","1978","6"
"2026-09-06T19:34:35.2416536Z","cloud-workers","edge-aggregates","0","1315","8212","6897"
"2026-09-06T19:34:35.2416536Z","cloud-workers","edge-aggregates","1","1318","12176","10858"
"2026-09-06T19:34:35.2416536Z","cloud-workers","edge-aggregates","2","1322","12145","10823"
"2026-09-06T19:34:35.2416536Z","cloud-workers","edge-aggregates","3","1316","8159","6843"
"2026-09-06T19:34:35.2416536Z","cloud-workers","edge-aggregates","4","1316","8254","6938"
"2026-09-06T19:34:35.2416536Z","cloud-workers","edge-aggregates","5","1311","4101","2790"
"2026-09-06T19:34:35.2416536Z","global-aggregator","cloud-edge-aggregates","0","3314","3328","14"
"2026-09-06T19:34:44.5379802Z","cloud-workers","edge-aggregates","0","2141","11362","9221"
"2026-09-06T19:34:44.5379802Z","cloud-workers","edge-aggregates","1","2144","16887","14743"
"2026-09-06T19:34:44.5379802Z","cloud-workers","edge-aggregates","2","2148","16892","14744"
"2026-09-06T19:34:44.5379802Z","cloud-workers","edge-aggregates","3","2142","11310","9168"
"2026-09-06T19:34:44.5379802Z","cloud-workers","edge-aggregates","4","2142","11419","9277"
"2026-09-06T19:34:44.5379802Z","cloud-workers","edge-aggregates","5","2136","5685","3549"
"2026-09-06T19:34:44.5379802Z","global-aggregator","cloud-edge-aggregates","0","5186","5191","5"
"2026-09-06T19:34:53.9096875Z","cloud-workers","edge-aggregates","0","3108","14295","11187"
"2026-09-06T19:34:53.9096875Z","cloud-workers","edge-aggregates","1","3111","21286","18175"
"2026-09-06T19:34:53.9096875Z","cloud-workers","edge-aggregates","2","3115","21289","18174"
"2026-09-06T19:34:53.9096875Z","cloud-workers","edge-aggregates","3","3109","14242","11133"
"2026-09-06T19:34:53.9096875Z","cloud-workers","edge-aggregates","4","3108","14351","11243"
"2026-09-06T19:34:53.9096875Z","cloud-workers","edge-aggregates","5","3103","7148","4045"
"2026-09-06T19:34:53.9096875Z","global-aggregator","cloud-edge-aggregates","0","7300","7302","2"
"2026-09-06T19:35:01.3599851Z","cloud-workers","edge-aggregates","0","4347","16173","11826"
"2026-09-06T19:35:01.3599851Z","cloud-workers","edge-aggregates","1","4350","24103","19753"
"2026-09-06T19:35:01.3599851Z","cloud-workers","edge-aggregates","2","4354","24106","19752"
"2026-09-06T19:35:01.3599851Z","cloud-workers","edge-aggregates","3","4348","16120","11772"
"2026-09-06T19:35:01.3599851Z","cloud-workers","edge-aggregates","4","4347","16229","11882"
"2026-09-06T19:35:01.3599851Z","cloud-workers","edge-aggregates","5","4343","8088","3745"
"2026-09-06T19:35:01.3599851Z","global-aggregator","cloud-edge-aggregates","0","10146","10161","15"
"2026-09-06T19:35:08.5113838Z","cloud-workers","edge-aggregates","0","10359","16173","5814"
"2026-09-06T19:35:08.5113838Z","cloud-workers","edge-aggregates","1","10363","24103","13740"
"2026-09-06T19:35:08.5113838Z","cloud-workers","edge-aggregates","2","10367","24106","13739"
"2026-09-06T19:35:08.5113838Z","cloud-workers","edge-aggregates","3","10360","16120","5760"
"2026-09-06T19:35:08.5113838Z","cloud-workers","edge-aggregates","4","10359","16229","5870"
"2026-09-06T19:35:08.5113838Z","cloud-workers","edge-aggregates","5","8088","8088","0"
"2026-09-06T19:35:08.5113838Z","global-aggregator","cloud-edge-aggregates","0","21431","21446","15"
"2026-09-06T19:35:24.3485105Z","cloud-workers","edge-aggregates","0","12855","16173","3318"
"2026-09-06T19:35:24.3485105Z","cloud-workers","edge-aggregates","1","12858","24103","11245"
"2026-09-06T19:35:24.3485105Z","cloud-workers","edge-aggregates","2","12863","24106","11243"
"2026-09-06T19:35:24.3485105Z","cloud-workers","edge-aggregates","3","12856","16120","3264"
"2026-09-06T19:35:24.3485105Z","cloud-workers","edge-aggregates","4","12855","16229","3374"
"2026-09-06T19:35:24.3485105Z","cloud-workers","edge-aggregates","5","8088","8088","0"
"2026-09-06T19:35:24.3485105Z","global-aggregator","cloud-edge-aggregates","0","25586","25602","16"
"2026-09-06T19:35:30.3351303Z","cloud-workers","edge-aggregates","0","15352","16173","821"
"2026-09-06T19:35:30.3351303Z","cloud-workers","edge-aggregates","1","15356","24103","8747"
"2026-09-06T19:35:30.3351303Z","cloud-workers","edge-aggregates","2","15360","24106","8746"
"2026-09-06T19:35:30.3351303Z","cloud-workers","edge-aggregates","3","15354","16120","766"
"2026-09-06T19:35:30.3351303Z","cloud-workers","edge-aggregates","4","15353","16229","876"
"2026-09-06T19:35:30.3351303Z","cloud-workers","edge-aggregates","5","8088","8088","0"
"2026-09-06T19:35:30.3351303Z","global-aggregator","cloud-edge-aggregates","0","29735","29754","19"
"2026-09-06T19:35:36.0876501Z","cloud-workers","edge-aggregates","0","16173","16173","0"
"2026-09-06T19:35:36.0876501Z","cloud-workers","edge-aggregates","1","20612","24103","3491"
"2026-09-06T19:35:36.0876501Z","cloud-workers","edge-aggregates","2","20616","24106","3490"
"2026-09-06T19:35:36.0876501Z","cloud-workers","edge-aggregates","3","16120","16120","0"
"2026-09-06T19:35:36.0876501Z","cloud-workers","edge-aggregates","4","16229","16229","0"
"2026-09-06T19:35:36.0876501Z","cloud-workers","edge-aggregates","5","8088","8088","0"
"2026-09-06T19:35:36.0876501Z","global-aggregator","cloud-edge-aggregates","0","34042","34057","15"
"2026-09-06T19:35:41.9481349Z","cloud-workers","edge-aggregates","0","16173","16173","0"
"2026-09-06T19:35:41.9481349Z","cloud-workers","edge-aggregates","1","24103","24103","0"
"2026-09-06T19:35:41.9481349Z","cloud-workers","edge-aggregates","2","24106","24106","0"
"2026-09-06T19:35:41.9481349Z","cloud-workers","edge-aggregates","3","16120","16120","0"
"2026-09-06T19:35:41.9481349Z","cloud-workers","edge-aggregates","4","16229","16229","0"
"2026-09-06T19:35:41.9481349Z","cloud-workers","edge-aggregates","5","8088","8088","0"
"2026-09-06T19:35:41.9481349Z","global-aggregator","cloud-edge-aggregates","0","35138","35138","0"
