"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_seconds","drain_duration_seconds","throughput_events_per_second","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","5000","124410","0",,"37,683336","50,026621",,"2486,86","1","0"
"edge-1","completato","171649","171649","0","5000","171649","0",,"58,164971","50,025221",,"3431,23","1","0"
"edge-2","completato","189420","189420","0","5000","189420","0",,"49,732273","50,025372",,"3786,46","1","0"
"edge-3","completato","145178","145178","0","5000","145178","0",,"35,394344","50,026993",,"2901,97","1","0"
"edge-4","completato","133862","133862","0","5000","133862","0",,"65,623392","50,024061",,"2675,93","1","0"
"edge-5","completato","145501","145501","0","5000","145501","0",,"74,053317","50,025079",,"2908,54","1","0"
"edge-6","completato","160171","160171","0","5000","160171","0",,"48,918158","50,026169",,"3201,72","1","0"
"edge-7","completato","149836","149836","0","5000","149836","0",,"47,972083","50,025859",,"2995,15","1","0"
"edge-8","completato","221171","221171","0","5000","221171","0","1,106729","80,430523","50,02554",,"4421,14","1","0"
"edge-9","completato","155365","155365","0","5000","155365","0",,"82,91661","50,027714",,"3105,56","1","0"
"edge-10","completato","167737","167737","0","5000","167737","0",,"38,125599","50,02647",,"3352,94","1","0"
"edge-11","completato","196973","196973","0","5000","196973","0",,"52,296395","50,024961",,"3937,47","1","0"
"edge-12","completato","145511","145511","0","5000","145511","0",,"39,931401","50,025349","0,001677","2908,73","1","0"
