"edge_id","telemetry_received","ingress_queue_capacity","max_ingress_queue_depth","max_ingress_queue_utilization_pct","ingress_accepted","ingress_queue_dropped","invalid_telemetry","out_of_order_dropped","post_eos_dropped","processed","aggregates_emitted","end_of_replay_processed"
"edge-0","124410","1000","1000","100","123464","946","0","0","0","123464","8087","1"
"edge-1","171649","1000","1000","100","171239","410","0","0","0","171239","8111","1"
"edge-2","189420","1000","1000","100","183572","5848","0","0","0","183572","7998","1"
"edge-3","145178","1000","1000","100","139896","5282","0","0","0","139896","7968","1"
"edge-4","133862","1000","1000","100","133765","97","0","0","0","133765","8120","1"
"edge-5","145501","1000","1000","100","145268","233","0","0","0","145268","8119","1"
"edge-6","160171","1000","1000","100","156302","3869","0","0","0","156302","8013","1"
"edge-7","149836","1000","1000","100","148164","1672","0","0","0","148164","8070","1"
"edge-8","221171","1000","1000","100","216745","4426","0","0","0","216745","8041","1"
"edge-9","155365","1000","1000","100","154758","607","0","0","0","154758","8101","1"
"edge-10","167737","1000","1000","100","164240","3497","0","0","0","164240","8016","1"
"edge-11","196973","1000","1000","100","194551","2422","0","0","0","194551","8046","1"
"edge-12","145511","1000","1000","100","145282","229","0","0","0","145282","8116","1"
