sensor_id;timestamp;pressure;temperature;humidity
60642;2025-01-01T01:11:16;99244.66;10.57;95.38
69219;2025-01-01T01:11:20;99908.58;9.33;47.81
43207;2025-01-01T01:11:25;100973.09;13.52;68.90
52693;2025-01-01T01:11:28;100372.94;12.02;86.99
64253;2025-01-01T01:11:37;99152.28;6.11;100.00
30105;2025-01-01T01:11:53;121774.50;-146.36;66.99
60642;2025-01-01T01:12:09;99255.32;10.52;95.60
76632;2025-01-01T01:13:02;101723.44;12.13;100.00
60642;2025-01-01T01:13:09;99251.95;10.51;95.97
78100;2025-01-01T01:13:16;98600.44;10.04;100.00
43207;2025-01-01T01:13:37;100957.44;13.43;69.21
69219;2025-01-01T01:13:39;99898.27;9.00;47.89
45263;2025-01-01T01:13:50;49820.84;-144.80;100.00
52693;2025-01-01T01:13:54;100364.81;11.97;87.46
64253;2025-01-01T01:14:04;99143.88;6.07;100.00
60642;2025-01-01T01:14:09;99221.22;10.45;96.17
30105;2025-01-01T01:14:19;121774.50;-146.36;66.47
58686;2025-01-01T01:14:21;100075.25;20.51;48.58
60642;2025-01-01T01:15:09;99255.17;10.51;96.37
76632;2025-01-01T01:15:28;101721.00;12.11;100.00
43207;2025-01-01T01:15:41;100942.03;13.46;69.04
78100;2025-01-01T01:15:44;98603.16;10.01;100.00
69219;2025-01-01T01:16:05;99878.90;9.49;47.79
60642;2025-01-01T01:16:09;99243.73;10.49;96.24
52693;2025-01-01T01:16:19;100362.91;11.92;87.26
64253;2025-01-01T01:16:30;99147.31;6.07;100.00
45263;2025-01-01T01:16:38;49804.97;-144.80;100.00
30105;2025-01-01T01:16:45;121774.50;-146.36;66.58
58686;2025-01-01T01:16:47;100077.63;20.56;48.26
60642;2025-01-01T01:17:09;99247.84;10.47;96.53
43207;2025-01-01T01:17:43;100959.28;13.49;69.18
76632;2025-01-01T01:17:54;101717.72;12.09;100.00
60642;2025-01-01T01:18:09;99250.65;10.54;96.31
78100;2025-01-01T01:18:10;98596.31;9.97;100.00
69219;2025-01-01T01:18:30;99879.68;9.70;48.12
52693;2025-01-01T01:18:45;100349.13;11.94;88.18
64253;2025-01-01T01:18:56;99142.38;6.04;100.00
60642;2025-01-01T01:19:09;99242.23;10.42;96.90
30105;2025-01-01T01:19:11;121774.50;-146.36;66.35
58686;2025-01-01T01:19:13;100058.16;20.54;48.69
45263;2025-01-01T01:19:23;49854.59;-144.80;100.00
43207;2025-01-01T01:19:50;100954.72;13.34;69.18
60642;2025-01-01T01:20:09;99234.18;10.48;96.85
76632;2025-01-01T01:20:21;101725.41;12.12;100.00
78100;2025-01-01T01:20:36;98591.69;10.04;100.00
69219;2025-01-01T01:20:56;99862.43;9.30;48.10
60642;2025-01-01T01:21:09;99222.88;10.46;96.55
52693;2025-01-01T01:21:10;100352.06;11.87;88.71
64253;2025-01-01T01:21:22;99136.56;6.01;100.00
30105;2025-01-01T01:21:37;121774.50;-146.36;64.99
58686;2025-01-01T01:21:39;100047.25;20.57;48.07
43207;2025-01-01T01:21:52;100951.47;13.44;68.91
60642;2025-01-01T01:22:09;99241.96;10.50;96.73
45263;2025-01-01T01:22:17;49799.03;-144.80;100.00
76632;2025-01-01T01:22:47;101725.41;12.12;100.00
78100;2025-01-01T01:23:01;98599.81;9.98;100.00
60642;2025-01-01T01:23:09;99235.69;10.45;96.96
69219;2025-01-01T01:23:22;99853.61;8.92;48.38
64253;2025-01-01T01:23:48;99128.03;5.99;100.00
43207;2025-01-01T01:23:57;100959.16;13.43;68.72
