sensor_id;timestamp;pressure;temperature;humidity
21828;2025-01-01T01:11:33;95094.13;2.82;36.49
66520;2025-01-01T01:11:37;98262.34;-6.04;100.00
56076;2025-01-01T01:11:38;98916.09;-1.85;81.97
44902;2025-01-01T01:12:02;99800;3.3;62
56668;2025-01-01T01:12:10;97114.53;-3.52;100.00
16945;2025-01-01T01:12:30;97515.38;-4.15;91.73
83029;2025-01-01T01:12:35;97860.38;-3.21;77.37
76374;2025-01-01T01:12:57;46080.78;-144.13;43.51
27425;2025-01-01T01:13:20;96715.09;0.98;55.44
47082;2025-01-01T01:13:31;97754.26;3.23;32.06
3150;2025-01-01T01:13:36;98066.38;1.40;71.99
66520;2025-01-01T01:14:03;98263.44;-6.05;100.00
56076;2025-01-01T01:14:04;98917.72;-1.91;81.88
44902;2025-01-01T01:15:00;99800;3.4;62
56668;2025-01-01T01:15:12;97117.88;-3.48;100.00
76374;2025-01-01T01:15:23;46059.47;-144.13;43.59
16945;2025-01-01T01:15:37;97505.00;-4.12;91.90
47082;2025-01-01T01:15:52;97744.76;3.24;32.21
3150;2025-01-01T01:16:03;98070.38;1.37;72.13
56076;2025-01-01T01:16:29;98886.72;-2.04;81.74
66520;2025-01-01T01:16:33;98268.59;-6.03;100.00
21828;2025-01-01T01:16:37;95097.50;2.62;36.47
83029;2025-01-01T01:17:36;97856.84;-3.20;78.11
76374;2025-01-01T01:17:49;46061.41;-144.13;43.20
44902;2025-01-01T01:18:00;99800;3.4;62
56668;2025-01-01T01:18:14;97120.31;-3.44;100.00
47082;2025-01-01T01:18:17;97748.46;3.20;32.20
27425;2025-01-01T01:18:22;96718.09;0.96;55.28
3150;2025-01-01T01:18:35;98064.78;1.39;72.03
16945;2025-01-01T01:18:40;97499.88;-4.14;92.15
56076;2025-01-01T01:18:55;98915.72;-1.82;81.99
66520;2025-01-01T01:18:59;98261.00;-6.01;100.00
83029;2025-01-01T01:20:02;97847.44;-3.21;78.69
76374;2025-01-01T01:20:15;46057.53;-144.13;42.48
47082;2025-01-01T01:20:42;97745.35;3.13;32.30
44902;2025-01-01T01:21:00;99800;3.4;62
3150;2025-01-01T01:21:02;98065.56;1.39;72.12
56668;2025-01-01T01:21:16;97105.28;-3.37;100.00
56076;2025-01-01T01:21:20;98916.13;-1.79;82.00
66520;2025-01-01T01:21:29;98252.06;-5.91;100.00
21828;2025-01-01T01:21:45;95103.31;2.72;36.69
16945;2025-01-01T01:21:47;97496.41;-4.13;91.24
83029;2025-01-01T01:22:28;97873.69;-3.14;78.48
76374;2025-01-01T01:22:41;46076.91;-144.13;42.31
47082;2025-01-01T01:23:08;97753.24;3.01;32.20
27425;2025-01-01T01:23:23;96714.31;0.97;55.38
3150;2025-01-01T01:23:33;98036.53;1.22;72.02
56076;2025-01-01T01:23:46;98908.00;-1.77;82.49
66520;2025-01-01T01:23:55;98247.50;-5.91;100.00
44902;2025-01-01T01:24:00;99800;3.4;62
56668;2025-01-01T01:24:19;97105.03;-3.31;100.00
83029;2025-01-01T01:24:54;97805.16;-3.46;78.07
16945;2025-01-01T01:24:56;97501.59;-4.14;90.83
76374;2025-01-01T01:25:07;46049.78;-144.13;43.18
47082;2025-01-01T01:25:33;97759.36;2.92;32.43
3150;2025-01-01T01:26:00;98068.78;1.41;71.84
56076;2025-01-01T01:26:11;98920.41;-1.78;81.91
66520;2025-01-01T01:26:25;98247.28;-5.79;100.00
21828;2025-01-01T01:26:52;95108.94;2.84;36.52
44902;2025-01-01T01:27:00;99800;3.4;62
83029;2025-01-01T01:27:20;97852.41;-3.05;77.58
56668;2025-01-01T01:27:21;97114.50;-3.27;100.00
76374;2025-01-01T01:27:33;46055.59;-144.13;43.05
47082;2025-01-01T01:27:58;97763.85;3.13;32.72
16945;2025-01-01T01:28:08;97498.19;-4.19;90.93
27425;2025-01-01T01:28:25;96688.25;0.98;55.49
3150;2025-01-01T01:28:36;98070.91;1.44;71.51
56076;2025-01-01T01:28:37;98918.97;-1.80;81.51
66520;2025-01-01T01:28:55;98249.00;-5.68;100.00
83029;2025-01-01T01:29:45;97819.13;-3.23;76.67
76374;2025-01-01T01:29:59;46057.53;-144.13;43.27
44902;2025-01-01T01:30:00;99800;3.4;62
47082;2025-01-01T01:30:24;97768.47;3.35;32.92
56668;2025-01-01T01:30:25;97125.56;-3.21;100.00
56076;2025-01-01T01:31:02;98904.09;-1.88;81.67
3150;2025-01-01T01:31:03;98053.31;1.38;71.67
16945;2025-01-01T01:31:10;97496.50;-4.20;90.64
66520;2025-01-01T01:31:25;98247.16;-5.62;100.00
21828;2025-01-01T01:31:56;95119.19;2.81;36.48
83029;2025-01-01T01:32:11;97848.88;-3.04;77.15
76374;2025-01-01T01:32:25;46065.28;-144.13;43.25
