sensor_id;timestamp;pressure;temperature;humidity
77706;2025-01-01T01:11:43;100474.97;-4.23;85.44
34237;2025-01-01T01:11:48;102143.50;6.92;61.55
51583;2025-01-01T01:11:56;96166.75;0.18;69.36
80624;2025-01-01T01:12:04;98852.13;0.34;100.00
40998;2025-01-01T01:12:41;102820.56;-1.58;100.00
46480;2025-01-01T01:12:53;100333.61;8.01;88.59
79150;2025-01-01T01:13:06;102608.91;7.54;73.38
71636;2025-01-01T01:13:29;91303.31;2.82;54.58
77706;2025-01-01T01:14:10;100472.53;-4.22;85.18
34237;2025-01-01T01:14:14;102134.13;7.01;61.34
83912;2025-01-01T01:14:15;102961.16;0.40;100.00
51583;2025-01-01T01:14:23;96124.84;-0.06;68.78
80624;2025-01-01T01:14:32;98852.22;0.22;100.00
40998;2025-01-01T01:15:07;102820.28;-1.78;100.00
46480;2025-01-01T01:15:21;100334.52;8.06;88.49
79150;2025-01-01T01:15:31;102618.09;7.45;73.85
71636;2025-01-01T01:15:54;91311.53;2.80;54.57
77706;2025-01-01T01:16:36;100479.50;-4.19;85.17
34237;2025-01-01T01:16:39;102138.53;7.02;61.40
51583;2025-01-01T01:16:49;96157.38;0.12;68.77
80624;2025-01-01T01:16:58;98856.09;0.29;100.00
40998;2025-01-01T01:17:32;102822.13;-1.89;100.00
46480;2025-01-01T01:17:50;100335.50;8.09;88.18
79150;2025-01-01T01:17:57;102618.41;7.55;74.16
71636;2025-01-01T01:18:23;91315.63;2.78;54.51
77706;2025-01-01T01:19:01;100482.03;-4.19;85.23
34237;2025-01-01T01:19:05;102140.44;7.00;61.25
51583;2025-01-01T01:19:14;96160.25;0.10;68.42
80624;2025-01-01T01:19:25;98836.38;0.20;100.00
40998;2025-01-01T01:19:58;102822.88;-1.99;100.00
46480;2025-01-01T01:20:19;100333.04;8.07;87.89
79150;2025-01-01T01:20:23;102605.28;7.47;74.27
71636;2025-01-01T01:20:48;91304.00;2.79;54.76
77706;2025-01-01T01:21:27;100477.72;-4.20;85.16
34237;2025-01-01T01:21:31;102138.88;6.96;61.01
51583;2025-01-01T01:21:40;96154.31;0.20;69.80
80624;2025-01-01T01:21:52;98850.50;0.21;100.00
40998;2025-01-01T01:22:23;102821.00;-2.10;100.00
79150;2025-01-01T01:22:48;102607.94;7.50;74.32
46480;2025-01-01T01:22:49;100332.61;8.07;87.81
71636;2025-01-01T01:23:14;91315.28;2.79;54.72
77706;2025-01-01T01:23:52;100486.19;-4.21;85.10
34237;2025-01-01T01:23:56;102133.16;6.85;61.06
51583;2025-01-01T01:24:06;96146.53;0.20;68.83
80624;2025-01-01T01:24:18;98851.06;0.37;100.00
40998;2025-01-01T01:24:49;102833.47;-2.07;100.00
79150;2025-01-01T01:25:13;102611.41;7.50;74.48
46480;2025-01-01T01:25:18;100335.77;8.06;87.81
71636;2025-01-01T01:25:39;91309.25;2.79;55.03
77706;2025-01-01T01:26:18;100487.75;-4.23;85.27
34237;2025-01-01T01:26:22;102143.50;6.92;61.55
51583;2025-01-01T01:26:31;96126.69;-0.02;69.38
80624;2025-01-01T01:26:45;98861.75;0.48;100.00
40998;2025-01-01T01:27:15;102828.44;-2.00;100.00
79150;2025-01-01T01:27:39;102617.38;7.49;74.16
46480;2025-01-01T01:27:46;100337.38;8.05;87.83
71636;2025-01-01T01:28:05;91310.78;2.80;55.08
77706;2025-01-01T01:28:43;100486.00;-4.24;85.48
34237;2025-01-01T01:28:48;102136.47;6.90;60.80
51583;2025-01-01T01:28:57;96118.94;0.04;68.55
80624;2025-01-01T01:29:12;98865.25;0.49;100.00
40998;2025-01-01T01:29:40;102830.28;-2.01;100.00
79150;2025-01-01T01:30:05;102612.09;7.45;74.31
46480;2025-01-01T01:30:15;100339.40;8.09;87.86
71636;2025-01-01T01:30:30;91310.38;2.78;55.02
77706;2025-01-01T01:31:09;100491.91;-4.25;85.34
34237;2025-01-01T01:31:13;102129.97;6.76;61.51
51583;2025-01-01T01:31:22;96156.06;0.04;69.38
80624;2025-01-01T01:31:38;98868.97;0.46;100.00
40998;2025-01-01T01:32:06;102829.28;-2.00;100.00
79150;2025-01-01T01:32:30;102611.31;7.47;74.30
46480;2025-01-01T01:32:43;100338.90;8.09;87.62
71636;2025-01-01T01:32:56;91305.47;2.76;54.61
77706;2025-01-01T01:33:34;100487.59;-4.26;85.55
34237;2025-01-01T01:33:39;102135.84;6.48;63.00
51583;2025-01-01T01:33:48;96179.94;0.06;69.90
80624;2025-01-01T01:34:05;98863.06;0.43;100.00
40998;2025-01-01T01:34:31;102827.56;-2.01;100.00
79150;2025-01-01T01:34:56;102613.88;7.47;74.34
46480;2025-01-01T01:35:12;100338.97;8.06;87.65
71636;2025-01-01T01:35:21;91304.31;2.74;54.96
77706;2025-01-01T01:36:00;100496.13;-4.26;85.38
34237;2025-01-01T01:36:04;102130.72;6.80;62.05
51583;2025-01-01T01:36:13;96176.59;0.11;69.58
80624;2025-01-01T01:36:32;98875.34;0.44;100.00
40998;2025-01-01T01:36:57;102823.50;-1.95;100.00
79150;2025-01-01T01:37:21;102618.25;7.50;74.43
46480;2025-01-01T01:37:41;100342.05;8.04;87.83
71636;2025-01-01T01:37:47;91300.53;2.71;54.95
77706;2025-01-01T01:38:26;100498.50;-4.29;85.55
34237;2025-01-01T01:38:30;102133.09;6.86;61.31
51583;2025-01-01T01:38:39;96180.22;0.10;69.78
80624;2025-01-01T01:38:58;98869.09;0.56;100.00
40998;2025-01-01T01:39:23;102828.44;-1.89;100.00
79150;2025-01-01T01:39:47;102605.97;7.41;74.43
46480;2025-01-01T01:40:10;100345.41;8.05;87.94
71636;2025-01-01T01:40:12;91297.16;2.71;55.33
77706;2025-01-01T01:40:52;100498.41;-4.30;85.53
34237;2025-01-01T01:40:55;102131.09;6.90;61.69
51583;2025-01-01T01:41:04;96164.78;-0.07;70.28
80624;2025-01-01T01:41:24;98866.69;0.53;100.00
40998;2025-01-01T01:41:49;102817.31;-1.97;100.00
79150;2025-01-01T01:42:12;102602.38;7.36;74.16
46480;2025-01-01T01:42:38;100341.01;8.06;87.96
71636;2025-01-01T01:42:38;91308.47;2.75;54.77
77706;2025-01-01T01:43:17;100498.41;-4.30;85.27
34237;2025-01-01T01:43:21;102126.28;6.96;61.51
51583;2025-01-01T01:43:30;96160.63;-0.08;70.08
80624;2025-01-01T01:43:51;98873.59;0.55;100.00
40998;2025-01-01T01:44:14;102824.84;-2.01;100.00
79150;2025-01-01T01:44:38;102606.78;7.40;73.83
71636;2025-01-01T01:45:04;91299.81;2.74;55.06
46480;2025-01-01T01:45:07;100342.59;8.06;88.00
77706;2025-01-01T01:45:43;100491.50;-4.31;85.55
34237;2025-01-01T01:45:46;102134.44;6.95;61.91
51583;2025-01-01T01:45:55;96108.63;-0.60;70.28
80624;2025-01-01T01:46:17;98861.94;0.45;100.00
40998;2025-01-01T01:46:40;102824.84;-2.01;100.00
79150;2025-01-01T01:47:03;102610.28;7.42;74.68
71636;2025-01-01T01:47:29;91306.19;2.73;54.92
46480;2025-01-01T01:47:36;100342.27;8.06;88.03
77706;2025-01-01T01:48:08;100494.94;-4.31;85.68
34237;2025-01-01T01:48:12;102132.31;7.02;61.55
51583;2025-01-01T01:48:21;96134.78;-0.30;70.03
80624;2025-01-01T01:48:44;98854.22;0.42;100.00
40998;2025-01-01T01:49:05;102815.03;-2.15;100.00
79150;2025-01-01T01:49:29;102604.50;7.49;74.34
71636;2025-01-01T01:49:54;91305.06;2.74;55.08
46480;2025-01-01T01:50:05;100340.58;8.05;88.20
77706;2025-01-01T01:50:34;100497.41;-4.32;85.39
34237;2025-01-01T01:50:37;102129.16;7.11;61.55
51583;2025-01-01T01:50:46;96139.44;-0.32;70.93
80624;2025-01-01T01:51:10;98875.03;0.48;100.00
40998;2025-01-01T01:51:31;102821.72;-2.19;100.00
79150;2025-01-01T01:51:54;102604.56;7.53;74.51
71636;2025-01-01T01:52:20;91308.81;2.73;55.12
46480;2025-01-01T01:52:34;100340.17;8.07;88.02
77706;2025-01-01T01:52:59;100495.47;-4.36;85.51
34237;2025-01-01T01:53:03;102119.66;7.21;60.97
51583;2025-01-01T01:53:15;96185.31;-0.01;69.65
80624;2025-01-01T01:53:36;98866.56;0.43;100.00
40998;2025-01-01T01:53:56;102817.75;-2.15;100.00
79150;2025-01-01T01:54:20;102606.88;7.43;74.49
71636;2025-01-01T01:54:45;91301.28;2.72;55.20
46480;2025-01-01T01:55:02;100340.17;8.10;87.88
77706;2025-01-01T01:55:25;100498.81;-4.37;85.57
34237;2025-01-01T01:55:28;102113.25;7.24;60.79
51583;2025-01-01T01:55:42;96173.16;0.00;70.96
80624;2025-01-01T01:56:03;98857.44;0.34;100.00
40998;2025-01-01T01:56:21;102820.38;-2.13;100.00
79150;2025-01-01T01:56:45;102598.41;7.47;74.42
71636;2025-01-01T01:57:11;91308.38;2.68;55.57
46480;2025-01-01T01:57:31;100339.05;8.12;87.71
77706;2025-01-01T01:57:50;100493.69;-4.37;85.62
34237;2025-01-01T01:57:54;102123.69;7.12;61.20
51583;2025-01-01T01:58:09;96164.19;-0.19;70.77
80624;2025-01-01T01:58:29;98863.38;0.38;100.00
40998;2025-01-01T01:58:47;102819.38;-2.12;100.00
79150;2025-01-01T01:59:11;102612.38;7.54;73.95
71636;2025-01-01T01:59:36;91308.38;2.68;55.36
46480;2025-01-01T01:59:59;100338.77;8.13;87.47
77706;2025-01-01T02:00:16;100494.47;-4.38;85.39
34237;2025-01-01T02:00:19;102117.91;7.20;62.14
51583;2025-01-01T02:00:34;96160.28;-0.22;70.56
80624;2025-01-01T02:00:55;98841.97;0.28;100.00
40998;2025-01-01T02:01:12;102817.31;-1.97;100.00
79150;2025-01-01T02:01:37;102603.72;7.52;74.09
71636;2025-01-01T02:02:02;91297.47;2.66;55.28
46480;2025-01-01T02:02:28;100338.92;8.14;87.15
77706;2025-01-01T02:02:41;100485.84;-4.40;85.62
34237;2025-01-01T02:02:45;102116.16;7.19;61.05
51583;2025-01-01T02:03:01;96198.13;0.11;70.08
80624;2025-01-01T02:03:21;98870.84;0.33;100.00
40998;2025-01-01T02:03:38;102820.25;-1.89;100.00
79150;2025-01-01T02:04:03;102597.81;7.56;73.85
71636;2025-01-01T02:04:32;91299.44;2.72;55.17
46480;2025-01-01T02:04:57;100339.86;8.14;87.01
77706;2025-01-01T02:05:08;100488.28;-4.42;85.54
34237;2025-01-01T02:05:11;102120.19;7.10;61.06
51583;2025-01-01T02:05:27;96144.09;-0.34;69.99
80624;2025-01-01T02:05:49;98859.22;0.23;100.00
40998;2025-01-01T02:06:03;102816.69;-1.89;100.00
79150;2025-01-01T02:06:28;102603.94;7.60;73.90
71636;2025-01-01T02:06:58;91299.81;2.74;54.74
46480;2025-01-01T02:07:27;100338.79;8.12;87.11
77706;2025-01-01T02:07:35;100490.06;-4.41;85.61
34237;2025-01-01T02:07:38;102111.09;7.13;61.66
51583;2025-01-01T02:07:54;96141.88;-0.52;70.04
83912;2025-01-01T02:08:09;102955.75;-0.01;100.00
80624;2025-01-01T02:08:17;98858.47;0.21;100.00
40998;2025-01-01T02:08:30;102817.19;-1.96;100.00
79150;2025-01-01T02:08:54;102609.69;7.51;73.82
71636;2025-01-01T02:09:24;91296.44;2.74;54.75
46480;2025-01-01T02:09:56;100338.89;8.11;87.24
77706;2025-01-01T02:10:01;100484.84;-4.43;85.61
34237;2025-01-01T02:10:04;102111.84;7.17;61.29
51583;2025-01-01T02:10:19;96125.13;-0.40;70.65
80624;2025-01-01T02:10:43;98865.00;0.17;100.00
40998;2025-01-01T02:10:55;102814.69;-1.87;100.00
83912;2025-01-01T02:10:56;102947.03;-0.14;100.00
79150;2025-01-01T02:11:20;102603.59;7.49;73.57
71636;2025-01-01T02:11:49;91298.28;2.70;55.22
46480;2025-01-01T02:12:24;100337.63;8.10;87.09
77706;2025-01-01T02:12:28;100481.31;-4.45;85.57
34237;2025-01-01T02:12:29;102108.41;7.31;62.08
51583;2025-01-01T02:12:48;96187.88;-0.06;70.77
80624;2025-01-01T02:13:10;98838.97;0.33;100.00
40998;2025-01-01T02:13:21;102814.69;-1.99;100.00
83912;2025-01-01T02:13:32;102949.63;-0.14;100.00
79150;2025-01-01T02:13:45;102605.41;7.51;73.75
71636;2025-01-01T02:14:15;91300.31;2.57;56.04
46480;2025-01-01T02:14:52;100331.88;8.10;87.37
77706;2025-01-01T02:14:53;100471.09;-4.45;85.77
34237;2025-01-01T02:14:55;102105.63;7.32;61.77
51583;2025-01-01T02:15:13;96170.00;-0.02;70.36
80624;2025-01-01T02:15:35;98851.06;0.37;100.00
40998;2025-01-01T02:15:46;102819.53;-1.91;100.00
79150;2025-01-01T02:16:11;102602.75;7.48;73.77
83912;2025-01-01T02:16:16;102948.59;-0.12;100.00
71636;2025-01-01T02:16:40;91298.34;2.50;56.23
77706;2025-01-01T02:17:19;100482.19;-4.44;85.48
46480;2025-01-01T02:17:21;100336.04;8.13;87.58
34237;2025-01-01T02:17:21;102105.06;7.25;61.81
51583;2025-01-01T02:17:39;96167.22;0.05;69.79
80624;2025-01-01T02:18:02;98863.50;0.36;100.00
40998;2025-01-01T02:18:12;102818.16;-2.08;100.00
79150;2025-01-01T02:18:36;102599.28;7.48;73.34
83912;2025-01-01T02:19:05;102946.19;-0.01;100.00
71636;2025-01-01T02:19:06;91297.25;2.51;55.91
77706;2025-01-01T02:19:44;100480.44;-4.45;85.38
34237;2025-01-01T02:19:46;102107.47;7.14;62.14
46480;2025-01-01T02:19:49;100336.08;8.15;87.46
51583;2025-01-01T02:20:04;96186.06;0.27;69.52
80624;2025-01-01T02:20:28;98850.75;0.18;100.00
40998;2025-01-01T02:20:37;102805.78;-1.89;100.00
79150;2025-01-01T02:21:02;102598.53;7.50;73.13
71636;2025-01-01T02:21:31;91306.97;2.51;56.25
77706;2025-01-01T02:22:11;100479.44;-4.47;85.50
34237;2025-01-01T02:22:12;102103.47;7.05;61.90
46480;2025-01-01T02:22:18;100336.33;8.18;87.27
51583;2025-01-01T02:22:30;96181.22;0.04;69.45
80624;2025-01-01T02:22:54;98862.69;0.12;100.00
40998;2025-01-01T02:23:03;102815.84;-1.90;100.00
79150;2025-01-01T02:23:27;102596.03;7.54;73.29
71636;2025-01-01T02:23:57;91301.78;2.55;56.02
77706;2025-01-01T02:24:37;100480.25;-4.48;85.56
34237;2025-01-01T02:24:39;102100.75;6.88;61.99
46480;2025-01-01T02:24:47;100336.56;8.18;87.01
51583;2025-01-01T02:24:58;96182.72;-0.01;69.85
80624;2025-01-01T02:25:20;98859.56;0.18;100.00
40998;2025-01-01T02:25:28;102805.06;-1.80;100.00
83912;2025-01-01T02:25:51;102935.16;-0.04;100.00
79150;2025-01-01T02:25:53;102590.88;7.54;73.38
71636;2025-01-01T02:26:22;91297.34;2.59;55.92
77706;2025-01-01T02:27:02;100481.13;-4.48;85.67
34237;2025-01-01T02:27:04;102107.16;7.03;62.22
46480;2025-01-01T02:27:16;100338.21;8.17;86.73
51583;2025-01-01T02:27:24;96192.69;0.13;70.07
80624;2025-01-01T02:27:46;98848.03;0.07;100.00
40998;2025-01-01T02:27:54;102815.47;-1.74;100.00
79150;2025-01-01T02:28:18;102596.94;7.56;73.35
71636;2025-01-01T02:28:48;91292.53;2.61;56.02
83912;2025-01-01T02:29:24;102938.81;0.08;100.00
77706;2025-01-01T02:29:28;100477.69;-4.48;85.58
34237;2025-01-01T02:29:30;102104.72;7.16;61.36
46480;2025-01-01T02:29:45;100331.14;8.13;86.62
51583;2025-01-01T02:29:49;96175.03;0.10;69.82
80624;2025-01-01T02:30:12;98852.78;0.14;100.00
40998;2025-01-01T02:30:19;102814.59;-1.63;100.00
79150;2025-01-01T02:30:44;102595.72;7.44;73.75
71636;2025-01-01T02:31:13;91299.63;2.60;56.25
77706;2025-01-01T02:31:54;100480.25;-4.48;85.56
34237;2025-01-01T02:31:56;102104.78;7.14;61.61
46480;2025-01-01T02:32:13;100332.86;8.09;87.07
51583;2025-01-01T02:32:16;96183.34;0.12;70.28
80624;2025-01-01T02:32:38;98859.47;0.31;100.00
40998;2025-01-01T02:32:45;102814.09;-1.57;100.00
79150;2025-01-01T02:33:09;102594.63;7.36;73.99
71636;2025-01-01T02:33:39;91292.09;2.59;56.37
77706;2025-01-01T02:34:19;100485.34;-4.48;85.50
34237;2025-01-01T02:34:22;102100.53;6.75;63.43
51583;2025-01-01T02:34:41;96177.78;-0.02;70.19
