sensor_id;timestamp;pressure;temperature;humidity
31637;2025-01-01T01:11:24;102874.66;9.45;75.43
50434;2025-01-01T01:11:28;101958.88;8.62;100.00
83037;2025-01-01T01:12:16;101291.56;4.10;77.63
50434;2025-01-01T01:12:30;101957.19;8.45;100.00
83701;2025-01-01T01:13:00;102783.72;9.26;100.00
73806;2025-01-01T01:13:09;92425.45;-2.03;100.00
80988;2025-01-01T01:13:14;95265.03;2.66;100.00
90264;2025-01-01T01:13:27;103105.78;17.31;50.70
50434;2025-01-01T01:13:31;101963.66;8.52;100.00
31637;2025-01-01T01:14:00;102881.66;9.49;75.20
50434;2025-01-01T01:14:34;101964.13;8.55;100.00
83037;2025-01-01T01:14:41;101295.09;4.12;78.35
61337;2025-01-01T01:14:58;102944.03;9.64;94.84
50434;2025-01-01T01:15:36;101962.94;8.58;100.00
73806;2025-01-01T01:15:39;92426.58;-2.04;100.00
80988;2025-01-01T01:15:51;95276.63;2.73;100.00
31637;2025-01-01T01:16:27;102882.72;9.42;75.45
50434;2025-01-01T01:16:37;101965.00;8.48;100.00
90264;2025-01-01T01:16:52;103108.31;17.32;50.78
83037;2025-01-01T01:17:07;101287.22;4.12;77.82
50434;2025-01-01T01:17:39;101957.19;8.53;100.00
83701;2025-01-01T01:18:01;102783.16;9.23;100.00
73806;2025-01-01T01:18:08;92427.43;-2.05;100.00
80988;2025-01-01T01:18:27;95277.84;2.90;100.00
50434;2025-01-01T01:18:40;101955.81;8.41;100.00
31637;2025-01-01T01:18:54;102878.31;9.41;75.45
87561;2025-01-01T01:19:08;102737.41;7.28;100.00
83037;2025-01-01T01:19:32;101281.03;4.08;78.34
50434;2025-01-01T01:19:41;101950.09;8.44;100.00
61337;2025-01-01T01:20:02;102951.16;9.65;94.55
90264;2025-01-01T01:20:17;103101.94;17.32;50.60
73806;2025-01-01T01:20:38;92425.63;-2.06;100.00
50434;2025-01-01T01:20:42;101965.00;8.40;100.00
80988;2025-01-01T01:20:52;95268.94;2.83;100.00
31637;2025-01-01T01:21:21;102883.09;9.30;75.76
50434;2025-01-01T01:21:43;101955.50;8.44;100.00
83037;2025-01-01T01:21:59;101277.59;4.11;78.05
50434;2025-01-01T01:22:43;101956.84;8.48;100.00
83701;2025-01-01T01:23:01;102785.44;9.17;100.00
73806;2025-01-01T01:23:07;92425.85;-2.07;100.00
80988;2025-01-01T01:23:19;95278.03;2.95;100.00
90264;2025-01-01T01:23:43;103097.47;17.31;50.57
50434;2025-01-01T01:23:44;101959.56;8.48;100.00
31637;2025-01-01T01:23:49;102878.09;9.17;76.21
83037;2025-01-01T01:24:25;101289.84;4.12;78.40
50434;2025-01-01T01:24:46;101949.25;8.43;100.00
61337;2025-01-01T01:25:05;102941.53;9.69;94.13
73806;2025-01-01T01:25:37;92426.06;-2.09;100.00
50434;2025-01-01T01:25:46;101956.69;8.49;100.00
80988;2025-01-01T01:25:47;95277.63;2.98;100.00
31637;2025-01-01T01:26:16;102880.22;9.06;76.75
50434;2025-01-01T01:26:47;101958.72;8.64;100.00
83037;2025-01-01T01:26:51;101255.06;3.83;78.17
90264;2025-01-01T01:27:08;103105.78;17.31;50.54
87561;2025-01-01T01:27:29;102750.56;7.22;100.00
50434;2025-01-01T01:27:48;101961.25;8.41;100.00
83701;2025-01-01T01:28:02;102791.19;9.14;100.00
73806;2025-01-01T01:28:06;92429.52;-2.11;100.00
80988;2025-01-01T01:28:15;95267.94;2.77;100.00
31637;2025-01-01T01:28:43;102879.53;8.98;77.47
50434;2025-01-01T01:28:50;101961.44;8.47;100.00
83037;2025-01-01T01:29:18;101308.22;4.13;78.58
50434;2025-01-01T01:29:50;101956.19;8.38;100.00
61337;2025-01-01T01:30:08;102952.03;9.72;93.69
90264;2025-01-01T01:30:33;103102.16;17.30;50.49
73806;2025-01-01T01:30:35;92432.22;-2.10;100.00
80988;2025-01-01T01:30:40;95270.81;2.76;100.00
50434;2025-01-01T01:30:51;101964.66;8.51;100.00
31637;2025-01-01T01:31:11;102866.59;8.86;77.57
83037;2025-01-01T01:31:44;101307.41;4.14;78.19
50434;2025-01-01T01:31:52;101958.88;8.46;100.00
50434;2025-01-01T01:32:53;101959.91;8.45;100.00
83701;2025-01-01T01:33:03;102790.63;9.11;100.00
73806;2025-01-01T01:33:05;92425.54;-2.12;100.00
80988;2025-01-01T01:33:12;95272.25;2.92;100.00
31637;2025-01-01T01:33:38;102882.53;8.86;77.99
50434;2025-01-01T01:33:54;101970.09;8.35;100.00
90264;2025-01-01T01:33:59;103098.56;17.30;50.41
83037;2025-01-01T01:34:09;101310.94;4.16;78.41
50434;2025-01-01T01:34:55;101974.81;8.33;100.00
61337;2025-01-01T01:35:15;102946.78;9.70;93.30
73806;2025-01-01T01:35:35;92422.34;-2.11;100.00
87561;2025-01-01T01:35:50;102742.84;7.02;100.00
50434;2025-01-01T01:35:56;101957.88;8.39;100.00
80988;2025-01-01T01:35:57;95281.38;2.84;100.00
31637;2025-01-01T01:36:05;102873.97;8.75;78.75
83037;2025-01-01T01:36:35;101306.59;4.19;78.47
50434;2025-01-01T01:36:57;101954.13;8.40;100.00
90264;2025-01-01T01:37:24;103092.19;17.29;50.47
50434;2025-01-01T01:37:59;101957.19;8.45;100.00
83701;2025-01-01T01:38:04;102789.16;9.07;100.00
73806;2025-01-01T01:38:05;92412.61;-2.10;100.00
80988;2025-01-01T01:38:23;95282.84;2.67;100.00
31637;2025-01-01T01:38:34;102874.09;8.69;78.52
50434;2025-01-01T01:38:59;101960.94;8.44;100.00
83037;2025-01-01T01:39:01;101297.88;4.20;78.78
50434;2025-01-01T01:40:00;101957.56;8.42;100.00
61337;2025-01-01T01:40:18;102937.34;9.66;92.67
73806;2025-01-01T01:40:34;92404.33;-2.10;100.00
90264;2025-01-01T01:40:49;103093.03;17.30;50.40
80988;2025-01-01T01:40:53;95274.78;2.67;100.00
31637;2025-01-01T01:41:01;102870.47;8.73;78.74
50434;2025-01-01T01:41:02;101965.34;8.37;100.00
83037;2025-01-01T01:41:27;101295.38;4.24;78.46
