"edge_id","telemetry_received","ingress_queue_capacity","max_ingress_queue_depth","max_ingress_queue_utilization_pct","ingress_accepted","ingress_queue_dropped","invalid_telemetry","out_of_order_dropped","post_eos_dropped","processed","aggregates_emitted","end_of_replay_processed"
"edge-0","124410","5000","2173","43,46","124410","0","0","0","0","124410","8124","1"
"edge-1","171649","5000","2910","58,199999999999996","171649","0","0","0","0","171649","8124","1"
"edge-2","189420","5000","3613","72,26","189420","0","0","0","0","189420","8124","1"
"edge-3","145178","5000","2490","49,8","145178","0","0","0","0","145178","8124","1"
"edge-4","133862","5000","2903","58,06","133862","0","0","0","0","133862","8124","1"
"edge-5","145501","5000","3914","78,28","145501","0","0","0","0","145501","8124","1"
"edge-6","160171","5000","3519","70,38","160171","0","0","0","0","160171","8124","1"
"edge-7","149836","5000","3554","71,08","149836","0","0","0","0","149836","8124","1"
"edge-8","221171","5000","5000","100","220941","230","0","0","0","220941","8122","1"
"edge-9","155365","5000","3245","64,9","155365","0","0","0","0","155365","8124","1"
"edge-10","167737","5000","2433","48,66","167737","0","0","0","0","167737","8124","1"
"edge-11","196973","5000","3605","72,1","196973","0","0","0","0","196973","8120","1"
"edge-12","145511","5000","2553","51,06","145511","0","0","0","0","145511","8124","1"
