"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_s","drain_duration_s","throughput_eps","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","5000","124410","0","0,87078","47,92512","62,531049053","0,00067871","1989,5556189142703","1","0"
"edge-1","completato","171649","171649","0","5000","171649","0","1,248727","122,177868","62,52997045","0,000135274","2745,0516730573636","1","0"
"edge-2","completato","189420","189420","0","5000","189420","0","1,192932","60,43305","62,532391043","0,00061567","3029,1341309777717","1","0"
"edge-3","completato","145178","145178","0","5000","145178","0","0,909322","52,545969","62,53243304","0,001755941","2321,627241133172","1","0"
"edge-4","completato","133862","133862","0","5000","133862","0","0,859276","49,781809","62,531074742","0,001941592","2140,7116470059664","1","0"
"edge-5","completato","145501","145501","0","5000","145501","0","1,036248","105,29076","62,530883818","0,00055463","2326,8502077067506","1","0"
"edge-6","completato","160171","160171","0","5000","160171","0","1,303132","101,932959","62,532460378","0,000546865","2561,3897011535237","1","0"
"edge-7","completato","149836","149836","0","5000","149836","0","0,917104","61,012154","62,532034984","0,000097721","2396,1318392778694","1","0"
"edge-8","completato","221171","221171","0","5000","221171","0","1,932551","214,71951","62,530197411","0,003862121","3537,011062771615","1","0"
"edge-9","completato","155365","155365","0","5000","155365","0","0,995334","77,453919","62,533186659","0,000120252","2484,504761403191","1","0"
"edge-10","completato","167737","167737","0","5000","167737","0","1,199551","99,995051","62,532788223","0,000242523","2682,3687982987703","1","0"
"edge-11","completato","196973","196973","0","5000","196973","0","1,349031","84,650183","62,53117192","0,002482381","3149,9809447358266","1","0"
"edge-12","completato","145511","145511","0","5000","145511","0","0,975715","65,138325","62,533353802","0,000311228","2326,918214889446","1","0"
