"timestamp_utc","group","topic","partition","current_offset","log_end_offset","lag"
"2026-09-06T21:50:23.4993117Z","cloud-workers","edge-aggregates","0","225","2709","2484"
"2026-09-06T21:50:23.4993117Z","cloud-workers","edge-aggregates","1","231","4061","3830"
"2026-09-06T21:50:23.4993117Z","cloud-workers","edge-aggregates","2","236","4065","3829"
"2026-09-06T21:50:23.4993117Z","cloud-workers","edge-aggregates","3","231","2712","2481"
"2026-09-06T21:50:23.4993117Z","cloud-workers","edge-aggregates","4","229","2708","2479"
"2026-09-06T21:50:23.4993117Z","cloud-workers","edge-aggregates","5","218","1357","1139"
"2026-09-06T21:50:23.4993117Z","global-aggregator","cloud-edge-aggregates","0","862","872","10"
"2026-09-06T21:50:35.0667648Z","cloud-workers","edge-aggregates","0","1018","5647","4629"
"2026-09-06T21:50:35.0667648Z","cloud-workers","edge-aggregates","1","1024","8439","7415"
"2026-09-06T21:50:35.0667648Z","cloud-workers","edge-aggregates","2","1028","8463","7435"
"2026-09-06T21:50:35.0667648Z","cloud-workers","edge-aggregates","3","1024","5643","4619"
"2026-09-06T21:50:35.0667648Z","cloud-workers","edge-aggregates","4","1022","5623","4601"
"2026-09-06T21:50:35.0667648Z","cloud-workers","edge-aggregates","5","1011","2823","1812"
"2026-09-06T21:50:35.0667648Z","global-aggregator","cloud-edge-aggregates","0","2630","2639","9"
"2026-09-06T21:50:46.1165951Z","cloud-workers","edge-aggregates","0","1872","8482","6610"
"2026-09-06T21:50:46.1165951Z","cloud-workers","edge-aggregates","1","1878","12716","10838"
"2026-09-06T21:50:46.1165951Z","cloud-workers","edge-aggregates","2","1882","12727","10845"
"2026-09-06T21:50:46.1165951Z","cloud-workers","edge-aggregates","3","1878","8483","6605"
"2026-09-06T21:50:46.1165951Z","cloud-workers","edge-aggregates","4","1876","8481","6605"
"2026-09-06T21:50:46.1165951Z","cloud-workers","edge-aggregates","5","1865","4241","2376"
"2026-09-06T21:50:46.1165951Z","global-aggregator","cloud-edge-aggregates","0","4476","4503","27"
"2026-09-06T21:50:56.8635837Z","cloud-workers","edge-aggregates","0","3046","11459","8413"
"2026-09-06T21:50:56.8635837Z","cloud-workers","edge-aggregates","1","3051","17181","14130"
"2026-09-06T21:50:56.8635837Z","cloud-workers","edge-aggregates","2","3056","17186","14130"
"2026-09-06T21:50:56.8635837Z","cloud-workers","edge-aggregates","3","3051","11458","8407"
"2026-09-06T21:50:56.8635837Z","cloud-workers","edge-aggregates","4","3049","11459","8410"
"2026-09-06T21:50:56.8635837Z","cloud-workers","edge-aggregates","5","3038","5730","2692"
"2026-09-06T21:50:56.8635837Z","global-aggregator","cloud-edge-aggregates","0","7038","7039","1"
"2026-09-06T21:51:07.1922909Z","cloud-workers","edge-aggregates","0","4220","14154","9934"
"2026-09-06T21:51:07.1922909Z","cloud-workers","edge-aggregates","1","4225","21225","17000"
"2026-09-06T21:51:07.1922909Z","cloud-workers","edge-aggregates","2","4230","21231","17001"
"2026-09-06T21:51:07.1922909Z","cloud-workers","edge-aggregates","3","4225","14154","9929"
"2026-09-06T21:51:07.1922909Z","cloud-workers","edge-aggregates","4","4223","14154","9931"
"2026-09-06T21:51:07.1922909Z","cloud-workers","edge-aggregates","5","4211","7077","2866"
"2026-09-06T21:51:07.1922909Z","global-aggregator","cloud-edge-aggregates","0","9387","9409","22"
"2026-09-06T21:51:15.9040610Z","cloud-workers","edge-aggregates","0","5473","16177","10704"
"2026-09-06T21:51:15.9040610Z","cloud-workers","edge-aggregates","1","5478","24260","18782"
"2026-09-06T21:51:15.9040610Z","cloud-workers","edge-aggregates","2","5483","24265","18782"
"2026-09-06T21:51:15.9040610Z","cloud-workers","edge-aggregates","3","5478","16178","10700"
"2026-09-06T21:51:15.9040610Z","cloud-workers","edge-aggregates","4","5476","16176","10700"
"2026-09-06T21:51:15.9040610Z","cloud-workers","edge-aggregates","5","5465","8088","2623"
"2026-09-06T21:51:15.9040610Z","global-aggregator","cloud-edge-aggregates","0","12221","12237","16"
"2026-09-06T21:51:24.7807462Z","cloud-workers","edge-aggregates","0","11677","16250","4573"
"2026-09-06T21:51:24.7807462Z","cloud-workers","edge-aggregates","1","11679","24369","12690"
"2026-09-06T21:51:24.7807462Z","cloud-workers","edge-aggregates","2","11686","24375","12689"
"2026-09-06T21:51:24.7807462Z","cloud-workers","edge-aggregates","3","11681","16250","4569"
"2026-09-06T21:51:24.7807462Z","cloud-workers","edge-aggregates","4","11680","16250","4570"
