"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","10","30,275","55,31","10,9672","11,82"
"edge-0","10","10,155","19,81","7,7708","9,922"
"edge-1","10","11,396","20,9","9,0248","11,98"
"edge-10","10","10,749","21,98","7,041","8,738"
"edge-11","10","11,998","26,83","9,6782","11,64"
"edge-12","10","9,854","21,33","8,8148","11,71"
"edge-2","10","12,555","21,93","9,556","11,89"
"edge-3","10","10,071","19,92","9,0554","10,53"
"edge-4","10","10,147","19,32","10,264","14,02"
"edge-5","10","9,957","21,52","11,5512","14,88"
"edge-6","10","10,235","19,4","9,815","11,99"
"edge-7","10","9,879","20,93","9,8564","13,6"
"edge-8","10","14,166","24,76","10,2086","14,16"
"edge-9","10","10,572","19,05","9,0053","12,57"
"global-aggregator","10","23,176","48,3","12,4051","16,08"
"kafka","10","134,038","262,49","933,7072","1050,624"
"mqtt-edge-0","10","4,213","8,48","2,6533","2,773"
"mqtt-edge-1","10","4,992","9,75","2,6468","2,652"
"mqtt-edge-10","10","4,497","9,89","2,6362","2,645"
"mqtt-edge-11","10","5,279","13,25","5,8575","5,863"
"mqtt-edge-12","10","4,382","9,49","2,6517","2,656"
"mqtt-edge-2","10","5,04","10,96","2,6443","2,648"
"mqtt-edge-3","10","4,414","9,12","2,6521","2,66"
"mqtt-edge-4","10","4,592","9,87","2,6487","2,656"
"mqtt-edge-5","10","4,17","8,74","2,6398","2,645"
"mqtt-edge-6","10","4,343","9,7","2,6472","2,652"
"mqtt-edge-7","10","4,095","8,93","2,6354","2,641"
"mqtt-edge-8","10","6,253","13,49","2,6557","2,836"
"mqtt-edge-9","10","4,338","9,13","2,6648","2,668"
"simulator-edge-0","6","11,648333","13,74","10,793333","11,11"
"simulator-edge-1","6","13,938333","17,3","10,486","11,27"
"simulator-edge-10","6","13,23","15,14","11,178333","11,52"
"simulator-edge-11","6","16,926667","20,07","11,22","11,54"
"simulator-edge-12","6","12,588333","15,2","10,921667","11,16"
"simulator-edge-2","6","14,821667","17,31","11,423333","12,07"
"simulator-edge-3","6","12,73","14,47","10,841667","11,27"
"simulator-edge-4","6","11,545","13,62","11,161667","11,58"
"simulator-edge-5","6","12,816667","13,99","10,916667","11,57"
"simulator-edge-6","6","13,078333","15,26","11,128333","11,3"
"simulator-edge-7","6","13,32","15,63","10,941667","11,16"
"simulator-edge-8","6","17,115","20,97","11,15","11,51"
"simulator-edge-9","6","13,006667","15","10,728333","11,09"
