"timestamp_utc","group","topic","partition","current_offset","log_end_offset","lag"
"2026-09-06T21:54:10.6623857Z","cloud-workers","edge-aggregates","0","288","2160","1872"
"2026-09-06T21:54:10.6623857Z","cloud-workers","edge-aggregates","1","291","3219","2928"
"2026-09-06T21:54:10.6623857Z","cloud-workers","edge-aggregates","2","293","3230","2937"
"2026-09-06T21:54:10.6623857Z","cloud-workers","edge-aggregates","3","354","2133","1779"
"2026-09-06T21:54:10.6623857Z","cloud-workers","edge-aggregates","4","353","2124","1771"
"2026-09-06T21:54:10.6623857Z","cloud-workers","edge-aggregates","5","335","1068","733"
"2026-09-06T21:54:10.6623857Z","global-aggregator","cloud-edge-aggregates","0","1341","1350","9"
"2026-09-06T21:54:22.3673765Z","cloud-workers","edge-aggregates","0","1139","5066","3927"
"2026-09-06T21:54:22.3673765Z","cloud-workers","edge-aggregates","1","1142","7599","6457"
"2026-09-06T21:54:22.3673765Z","cloud-workers","edge-aggregates","2","1143","7597","6454"
"2026-09-06T21:54:22.3673765Z","cloud-workers","edge-aggregates","3","1389","5057","3668"
"2026-09-06T21:54:22.3673765Z","cloud-workers","edge-aggregates","4","1387","5059","3672"
"2026-09-06T21:54:22.3673765Z","cloud-workers","edge-aggregates","5","1369","2530","1161"
"2026-09-06T21:54:22.3673765Z","global-aggregator","cloud-edge-aggregates","0","3305","3333","28"
"2026-09-06T21:54:33.0841331Z","cloud-workers","edge-aggregates","0","2282","7941","5659"
"2026-09-06T21:54:33.0841331Z","cloud-workers","edge-aggregates","1","2285","11892","9607"
"2026-09-06T21:54:33.0841331Z","cloud-workers","edge-aggregates","2","2287","11902","9615"
"2026-09-06T21:54:33.0841331Z","cloud-workers","edge-aggregates","3","2833","7897","5064"
"2026-09-06T21:54:33.0841331Z","cloud-workers","edge-aggregates","4","2831","7896","5065"
"2026-09-06T21:54:33.0841331Z","cloud-workers","edge-aggregates","5","2812","3946","1134"
"2026-09-06T21:54:33.0841331Z","global-aggregator","cloud-edge-aggregates","0","6074","6094","20"
"2026-09-06T21:54:44.1123079Z","cloud-workers","edge-aggregates","0","3744","10882","7138"
"2026-09-06T21:54:44.1123079Z","cloud-workers","edge-aggregates","1","3746","16319","12573"
"2026-09-06T21:54:44.1123079Z","cloud-workers","edge-aggregates","2","3748","16323","12575"
"2026-09-06T21:54:44.1123079Z","cloud-workers","edge-aggregates","3","4625","10874","6249"
"2026-09-06T21:54:44.1123079Z","cloud-workers","edge-aggregates","4","4624","10874","6250"
"2026-09-06T21:54:44.1123079Z","cloud-workers","edge-aggregates","5","4605","5437","832"
"2026-09-06T21:54:44.1123079Z","global-aggregator","cloud-edge-aggregates","0","9542","9570","28"
"2026-09-06T21:54:54.6926813Z","cloud-workers","edge-aggregates","0","5110","14117","9007"
"2026-09-06T21:54:54.6926813Z","cloud-workers","edge-aggregates","1","5113","21157","16044"
"2026-09-06T21:54:54.6926813Z","cloud-workers","edge-aggregates","2","5114","21161","16047"
"2026-09-06T21:54:54.6926813Z","cloud-workers","edge-aggregates","3","6424","14076","7652"
"2026-09-06T21:54:54.6926813Z","cloud-workers","edge-aggregates","4","6423","14090","7667"
"2026-09-06T21:54:54.6926813Z","cloud-workers","edge-aggregates","5","6397","7050","653"
"2026-09-06T21:54:54.6926813Z","global-aggregator","cloud-edge-aggregates","0","13286","13317","31"
"2026-09-06T21:55:05.1144786Z","cloud-workers","edge-aggregates","0","6927","16176","9249"
"2026-09-06T21:55:05.1144786Z","cloud-workers","edge-aggregates","1","6930","24256","17326"
"2026-09-06T21:55:05.1144786Z","cloud-workers","edge-aggregates","2","6931","24256","17325"
"2026-09-06T21:55:05.1144786Z","cloud-workers","edge-aggregates","3","8576","16154","7578"
"2026-09-06T21:55:05.1144786Z","cloud-workers","edge-aggregates","4","8575","16153","7578"
"2026-09-06T21:55:05.1144786Z","cloud-workers","edge-aggregates","5","7907","8077","170"
"2026-09-06T21:55:05.1144786Z","global-aggregator","cloud-edge-aggregates","0","17301","17332","31"
"2026-09-06T21:55:13.9176722Z","cloud-workers","edge-aggregates","0","16250","16250","0"
"2026-09-06T21:55:13.9176722Z","cloud-workers","edge-aggregates","1","18746","24371","5625"
"2026-09-06T21:55:13.9176722Z","cloud-workers","edge-aggregates","2","18746","24375","5629"
"2026-09-06T21:55:13.9176722Z","cloud-workers","edge-aggregates","3","16250","16250","0"
"2026-09-06T21:55:13.9176722Z","cloud-workers","edge-aggregates","4","16250","16250","0"
"2026-09-06T21:55:13.9176722Z","cloud-workers","edge-aggregates","5","8125","8125","0"
"2026-09-06T21:55:13.9176722Z","global-aggregator","cloud-edge-aggregates","0","32771","32784","13"
"2026-09-06T21:55:31.0517331Z","cloud-workers","edge-aggregates","0","16250","16250","0"
"2026-09-06T21:55:31.0517331Z","cloud-workers","edge-aggregates","1","24371","24371","0"
"2026-09-06T21:55:31.0517331Z","cloud-workers","edge-aggregates","2","24375","24375","0"
"2026-09-06T21:55:31.0517331Z","cloud-workers","edge-aggregates","3","16250","16250","0"
"2026-09-06T21:55:31.0517331Z","cloud-workers","edge-aggregates","4","16250","16250","0"
"2026-09-06T21:55:31.0517331Z","cloud-workers","edge-aggregates","5","8125","8125","0"
"2026-09-06T21:55:31.0517331Z","global-aggregator","cloud-edge-aggregates","0","35243","35243","0"
