"container","samples","cpu_avg_pct","cpu_max_pct","memory_avg_mib","memory_max_mib"
"cloud-worker-0","8","20,85375","54,67","9,806125","11,64"
"cloud-worker-1","8","14,99125","50,67","11,1725","11,59"
"edge-0","8","11,2675","18,09","10,218375","11,66"
"edge-1","8","13,3525","19,46","11,236625","14,12"
"edge-10","8","12,8825","21,59","11,211125","13,97"
"edge-11","8","14,4575","22,24","11,32575","14,35"
"edge-12","8","13,0325","21,17","8,983375","10,37"
"edge-2","8","14,59375","25,86","8,842375","10,31"
"edge-3","8","11,835","18,93","9,799","11,76"
"edge-4","8","11,7825","19,37","10,2285","14,03"
"edge-5","8","12,96125","23,99","9,878625","11,57"
"edge-6","8","12,58625","20,83","8,522375","9,734"
"edge-7","8","12,26125","20,3","7,571875","8,789"
"edge-8","8","15,215","21,75","9,80825","12,56"
"edge-9","8","12,31625","17,95","11,481875","13,66"
"global-aggregator","8","25,62125","79,13","10,481625","14,1"
"kafka","8","148,20125","290,32","873,4375","1007"
"mqtt-edge-0","8","5,02625","8,4","2,64825","2,652"
"mqtt-edge-1","8","5,63","9,89","2,639","2,645"
"mqtt-edge-10","8","6,04125","10,14","2,64325","2,648"
"mqtt-edge-11","8","6,47625","10,96","2,6405","2,645"
"mqtt-edge-12","8","5,75625","9,14","2,6315","2,637"
"mqtt-edge-2","8","5,73625","9,58","2,64575","2,652"
"mqtt-edge-3","8","4,995","9,33","2,651125","2,656"
"mqtt-edge-4","8","5,03","9,35","2,64475","2,652"
"mqtt-edge-5","8","5,45125","8,07","2,635","2,641"
"mqtt-edge-6","8","5,26375","9,54","2,637","2,641"
"mqtt-edge-7","8","5,675","9,15","2,639","2,645"
"mqtt-edge-8","8","6,50625","10,26","2,6365","2,641"
"mqtt-edge-9","8","5,45625","8,52","2,640875","2,648"
"simulator-edge-0","6","11,19","12,12","9,0905","9,324"
"simulator-edge-1","6","13,593333","15,82","10,809167","11,48"
"simulator-edge-10","6","13,146667","14,82","9,102333","9,238"
"simulator-edge-11","6","14,608333","16,38","10,951667","11,29"
"simulator-edge-12","6","13,493333","15,13","10,121","11,25"
"simulator-edge-2","6","15,053333","18,11","10,654167","11,56"
"simulator-edge-3","6","12,258333","13,83","10,4855","11"
"simulator-edge-4","6","12,015","14,03","10,675667","11,44"
"simulator-edge-5","6","12,951667","14,63","10,481667","11,29"
"simulator-edge-6","6","13,081667","15,56","10,368","11,43"
"simulator-edge-7","6","11,8","13,62","9,335667","10,96"
"simulator-edge-8","6","16,706667","18,33","10,973333","11,43"
"simulator-edge-9","6","12,708333","13,95","9,049","9,371"
