"edge_id","status","offered_events","telemetry_enqueued","telemetry_locally_dropped","queue_capacity","mqtt_publish_attempts","mqtt_publish_errors","avg_scheduling_lag_ms","max_scheduling_lag_ms","offer_duration_s","drain_duration_s","throughput_eps","eos_successes","eos_failures"
"edge-0","completato","124410","124410","0","5000","124410","0","0,92355","76,699442","62,532504665","0,000172706","1989,5093066635604","1","0"
"edge-1","completato","171649","171649","0","5000","171649","0","1,2723","109,773048","62,530349265","0,000443102","2745,035043264603","1","0"
"edge-2","completato","189420","189420","0","5000","189420","0","1,180705","68,121159","62,535653469","0,001536442","3028,97610391004","1","0"
"edge-3","completato","145178","145178","0","5000","145178","0","1,041231","101,466546","62,532510493","0,000204349","2321,624365557039","1","0"
"edge-4","completato","133862","133862","0","5000","133862","0","0,84953","85,427053","62,529193164","0,000227738","2140,7760635726218","1","0"
"edge-5","completato","145501","145501","0","5000","145501","0","0,863607","44,561563","62,533314423","0,000706098","2326,759765455268","1","0"
"edge-6","completato","160171","160171","0","5000","160171","0","0,970548","57,680086","62,533191462","0,001060314","2561,3597556000586","1","0"
"edge-7","completato","149836","149836","0","5000","149836","0","0,852788","57,796427","62,533933941","0,000717599","2396,059076362723","1","0"
"edge-8","completato","221171","221171","0","5000","221171","0","1,116936","56,834037","62,53062852","0,012751445","3536,986677325021","1","0"
"edge-9","completato","155365","155365","0","5000","155365","0","0,936599","54,338827","62,530470768","0,000584011","2484,612671099665","1","0"
"edge-10","completato","167737","167737","0","5000","167737","0","1,051875","76,773956","62,530300167","0,000412393","2682,4755286961135","1","0"
"edge-11","completato","196973","196973","0","5000","196973","0","1,110155","86,082415","62,530660582","0,00016552","3150,006703378728","1","0"
"edge-12","completato","145511","145511","0","5000","145511","0","0,957583","54,226617","62,531995498","0,000122747","2326,9687596112926","1","0"
